"","coldates","dates","dates2","cum_cases","cum_deaths","cum_recover","new_cases","new_deaths","new_recover"
"1","X1.22.20","1.22.20",2020-01-22,0,0,0,NA,NA,NA
"2","X1.23.20","1.23.20",2020-01-23,0,0,0,0,0,0
"3","X1.24.20","1.24.20",2020-01-24,0,0,0,0,0,0
"4","X1.25.20","1.25.20",2020-01-25,0,0,0,0,0,0
"5","X1.26.20","1.26.20",2020-01-26,0,0,0,0,0,0
"6","X1.27.20","1.27.20",2020-01-27,0,0,0,0,0,0
"7","X1.28.20","1.28.20",2020-01-28,0,0,0,0,0,0
"8","X1.29.20","1.29.20",2020-01-29,0,0,0,0,0,0
"9","X1.30.20","1.30.20",2020-01-30,0,0,0,0,0,0
"10","X1.31.20","1.31.20",2020-01-31,2,0,0,2,0,0
"11","X2.1.20","2.1.20",2020-02-01,2,0,0,0,0,0
"12","X2.2.20","2.2.20",2020-02-02,2,0,0,0,0,0
"13","X2.3.20","2.3.20",2020-02-03,2,0,0,0,0,0
"14","X2.4.20","2.4.20",2020-02-04,2,0,0,0,0,0
"15","X2.5.20","2.5.20",2020-02-05,2,0,0,0,0,0
"16","X2.6.20","2.6.20",2020-02-06,2,0,0,0,0,0
"17","X2.7.20","2.7.20",2020-02-07,3,0,0,1,0,0
"18","X2.8.20","2.8.20",2020-02-08,3,0,0,0,0,0
"19","X2.9.20","2.9.20",2020-02-09,3,0,0,0,0,0
"20","X2.10.20","2.10.20",2020-02-10,3,0,0,0,0,0
"21","X2.11.20","2.11.20",2020-02-11,3,0,0,0,0,0
"22","X2.12.20","2.12.20",2020-02-12,3,0,0,0,0,0
"23","X2.13.20","2.13.20",2020-02-13,3,0,0,0,0,0
"24","X2.14.20","2.14.20",2020-02-14,3,0,0,0,0,0
"25","X2.15.20","2.15.20",2020-02-15,3,0,0,0,0,0
"26","X2.16.20","2.16.20",2020-02-16,3,0,0,0,0,0
"27","X2.17.20","2.17.20",2020-02-17,3,0,0,0,0,0
"28","X2.18.20","2.18.20",2020-02-18,3,0,0,0,0,0
"29","X2.19.20","2.19.20",2020-02-19,3,0,0,0,0,0
"30","X2.20.20","2.20.20",2020-02-20,3,0,0,0,0,0
"31","X2.21.20","2.21.20",2020-02-21,20,1,0,17,1,0
"32","X2.22.20","2.22.20",2020-02-22,62,2,1,42,1,1
"33","X2.23.20","2.23.20",2020-02-23,155,3,2,93,1,1
"34","X2.24.20","2.24.20",2020-02-24,229,7,1,74,4,-1
"35","X2.25.20","2.25.20",2020-02-25,322,10,1,93,3,0
"36","X2.26.20","2.26.20",2020-02-26,453,12,3,131,2,2
"37","X2.27.20","2.27.20",2020-02-27,655,17,45,202,5,42
"38","X2.28.20","2.28.20",2020-02-28,888,21,46,233,4,1
"39","X2.29.20","2.29.20",2020-02-29,1128,29,46,240,8,0
"40","X3.1.20","3.1.20",2020-03-01,1694,34,83,566,5,37
"41","X3.2.20","3.2.20",2020-03-02,2036,52,149,342,18,66
"42","X3.3.20","3.3.20",2020-03-03,2502,79,160,466,27,11
"43","X3.4.20","3.4.20",2020-03-04,3089,107,276,587,28,116
"44","X3.5.20","3.5.20",2020-03-05,3858,148,414,769,41,138
"45","X3.6.20","3.6.20",2020-03-06,4636,197,523,778,49,109
"46","X3.7.20","3.7.20",2020-03-07,5883,233,589,1247,36,66
"47","X3.8.20","3.8.20",2020-03-08,7375,366,622,1492,133,33
"48","X3.9.20","3.9.20",2020-03-09,9172,463,724,1797,97,102
"49","X3.10.20","3.10.20",2020-03-10,10149,631,724,977,168,0
"50","X3.11.20","3.11.20",2020-03-11,12462,827,1045,2313,196,321
"51","X3.12.20","3.12.20",2020-03-12,12462,827,1045,0,0,0
"52","X3.13.20","3.13.20",2020-03-13,17660,1266,1439,5198,439,394
"53","X3.14.20","3.14.20",2020-03-14,21157,1441,1966,3497,175,527
"54","X3.15.20","3.15.20",2020-03-15,24747,1809,2335,3590,368,369
"55","X3.16.20","3.16.20",2020-03-16,27980,2158,2749,3233,349,414
"56","X3.17.20","3.17.20",2020-03-17,31506,2503,2941,3526,345,192
"57","X3.18.20","3.18.20",2020-03-18,35713,2978,4025,4207,475,1084
"58","X3.19.20","3.19.20",2020-03-19,41035,3405,4440,5322,427,415
"59","X3.20.20","3.20.20",2020-03-20,47021,4032,4440,5986,627,0
"60","X3.21.20","3.21.20",2020-03-21,53578,4825,6072,6557,793,1632
"61","X3.22.20","3.22.20",2020-03-22,59138,5476,7024,5560,651,952
