date,cum_case,cum_death,cum_recover,active
1/22/20,0,0,0,0
1/23/20,0,0,0,0
1/24/20,0,0,0,0
1/25/20,0,0,0,0
1/26/20,0,0,0,0
1/27/20,0,0,0,0
1/28/20,0,0,0,0
1/29/20,0,0,0,0
1/30/20,0,0,0,0
1/31/20,0,0,0,0
2/1/20,0,0,0,0
2/2/20,0,0,0,0
2/3/20,0,0,0,0
2/4/20,0,0,0,0
2/5/20,0,0,0,0
2/6/20,0,0,0,0
2/7/20,0,0,0,0
2/8/20,0,0,0,0
2/9/20,0,0,0,0
2/10/20,0,0,0,0
2/11/20,0,0,0,0
2/12/20,0,0,0,0
2/13/20,0,0,0,0
2/14/20,0,0,0,0
2/15/20,0,0,0,0
2/16/20,0,0,0,0
2/17/20,0,0,0,0
2/18/20,0,0,0,0
2/19/20,0,0,0,0
2/20/20,0,0,0,0
2/21/20,0,0,0,0
2/22/20,0,0,0,0
2/23/20,0,0,0,0
2/24/20,0,0,0,0
2/25/20,0,0,0,0
2/26/20,0,0,0,0
2/27/20,0,0,0,0
2/28/20,0,0,0,0
2/29/20,0,0,0,0
3/1/20,0,0,0,0
3/2/20,0,0,0,0
3/3/20,0,0,0,0
3/4/20,0,0,0,0
3/5/20,0,0,0,0
3/6/20,0,0,0,0
3/7/20,0,0,0,0
3/8/20,0,0,0,0
3/9/20,0,0,0,0
3/10/20,0,0,0,0
3/11/20,1,0,0,1
3/12/20,1,0,0,1
3/13/20,5,0,0,5
3/14/20,5,0,0,5
3/15/20,6,0,0,6
3/16/20,18,0,0,18
3/17/20,47,1,0,46
3/18/20,98,1,0,97
3/19/20,192,3,0,189
3/20/20,359,4,0,355
3/21/20,670,9,0,661
3/22/20,1236,30,0,1206
3/23/20,1529,37,0,1492
3/24/20,1872,44,0,1828
3/25/20,2433,59,26,2348
3/26/20,3629,75,26,3528
3/27/20,5698,92,42,5564
3/28/20,7402,108,70,7224
3/29/20,9217,131,105,8981
3/30/20,10827,168,162,10497
