date,cum_case,cum_death,cum_recover,active
1/22/20,0,0,0,0
1/23/20,0,0,0,0
1/24/20,0,0,0,0
1/25/20,0,0,0,0
1/26/20,0,0,0,0
1/27/20,0,0,0,0
1/28/20,0,0,0,0
1/29/20,0,0,0,0
1/30/20,0,0,0,0
1/31/20,2,0,0,2
2/1/20,2,0,0,2
2/2/20,2,0,0,2
2/3/20,2,0,0,2
2/4/20,2,0,0,2
2/5/20,2,0,0,2
2/6/20,2,0,0,2
2/7/20,3,0,0,3
2/8/20,3,0,0,3
2/9/20,3,0,0,3
2/10/20,8,0,0,8
2/11/20,8,0,0,8
2/12/20,9,0,1,8
2/13/20,9,0,1,8
2/14/20,9,0,1,8
2/15/20,9,0,1,8
2/16/20,9,0,8,1
2/17/20,9,0,8,1
2/18/20,9,0,8,1
2/19/20,9,0,8,1
2/20/20,9,0,8,1
2/21/20,9,0,8,1
2/22/20,9,0,8,1
2/23/20,9,0,8,1
2/24/20,13,0,8,5
2/25/20,13,0,8,5
2/26/20,13,0,8,5
2/27/20,15,0,8,7
2/28/20,20,0,8,12
2/29/20,23,0,8,15
3/1/20,36,0,8,28
3/2/20,40,0,8,32
3/3/20,51,0,8,43
3/4/20,85,0,8,77
3/5/20,115,1,8,106
3/6/20,163,2,8,153
3/7/20,206,2,18,186
3/8/20,273,3,18,252
3/9/20,321,4,18,299
3/10/20,382,6,18,358
3/11/20,456,8,18,430
3/12/20,456,8,18,430
3/13/20,798,8,18,772
3/14/20,1140,21,18,1101
3/15/20,1140,21,18,1101
3/16/20,1543,55,20,1468
3/17/20,1950,55,52,1843
3/18/20,2626,71,65,2490
3/19/20,2689,137,65,2487
3/20/20,3983,177,65,3741
3/21/20,5018,233,65,4720
3/22/20,5683,281,65,5337
3/23/20,6650,335,65,6250
3/24/20,8077,422,135,7520
3/25/20,9529,465,135,8929
3/26/20,11658,578,135,10945
3/27/20,14543,759,135,13649
3/28/20,17089,1019,135,15935
3/29/20,19522,1228,135,18159
3/30/20,22141,1408,135,20598
