,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0
42,3/4/20,0,0,0,0,0,0,0
43,3/5/20,0,0,0,0,0,0,0
44,3/6/20,0,0,0,0,0,0,0
45,3/7/20,0,0,0,0,0,0,0
46,3/8/20,0,0,0,0,0,0,0
47,3/9/20,2,0,0,2,0,0,0
48,3/10/20,10,0,0,8,0,0,0
49,3/11/20,12,1,0,2,1,0,1
50,3/12/20,23,1,0,11,0,0,0
51,3/13/20,33,1,0,10,0,0,0
52,3/14/20,38,1,0,5,0,0,0
53,3/15/20,42,1,0,4,0,0,0
54,3/16/20,51,1,0,9,0,0,0
55,3/17/20,55,1,0,4,0,0,0
56,3/18/20,59,2,0,4,1,0,1
57,3/19/20,64,2,0,5,0,0,0
58,3/20/20,70,2,0,6,0,0,0
59,3/21/20,76,2,2,6,0,2,2
60,3/22/20,89,2,2,13,0,0,0
61,3/23/20,104,4,2,15,2,0,2
62,3/24/20,123,5,10,19,1,8,9
63,3/25/20,146,5,17,23,0,7,7
64,3/26/20,174,6,17,28,1,0,1
65,3/27/20,186,8,31,12,2,14,16
66,3/28/20,197,10,31,11,2,0,2
67,3/29/20,212,10,33,15,0,2,2
68,3/30/20,223,11,44,11,1,11,12
69,3/31/20,243,15,52,20,4,8,12
70,4/1/20,259,15,67,16,0,15,15
71,4/2/20,277,16,76,18,1,9,10
72,4/3/20,304,17,89,27,1,13,14
73,4/4/20,333,20,99,29,3,10,13
74,4/5/20,361,20,104,28,0,5,5
75,4/6/20,377,21,116,16,1,12,13
76,4/7/20,383,22,131,6,1,15,16
77,4/8/20,400,22,154,17,0,23,23
78,4/9/20,409,23,165,9,1,11,12
79,4/10/20,416,23,182,7,0,17,17
