,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0.0,0,0,0,0
1,1/23/20,0,0,0.0,0,0,0,0
2,1/24/20,0,0,0.0,0,0,0,0
3,1/25/20,0,0,0.0,0,0,0,0
4,1/26/20,0,0,0.0,0,0,0,0
5,1/27/20,0,0,0.0,0,0,0,0
6,1/28/20,0,0,0.0,0,0,0,0
7,1/29/20,0,0,0.0,0,0,0,0
8,1/30/20,0,0,0.0,0,0,0,0
9,1/31/20,0,0,0.0,0,0,0,0
10,2/1/20,0,0,0.0,0,0,0,0
11,2/2/20,0,0,0.0,0,0,0,0
12,2/3/20,0,0,0.0,0,0,0,0
13,2/4/20,0,0,0.0,0,0,0,0
14,2/5/20,0,0,0.0,0,0,0,0
15,2/6/20,0,0,0.0,0,0,0,0
16,2/7/20,0,0,0.0,0,0,0,0
17,2/8/20,0,0,0.0,0,0,0,0
18,2/9/20,0,0,0.0,0,0,0,0
19,2/10/20,0,0,0.0,0,0,0,0
20,2/11/20,0,0,0.0,0,0,0,0
21,2/12/20,0,0,0.0,0,0,0,0
22,2/13/20,0,0,0.0,0,0,0,0
23,2/14/20,0,0,0.0,0,0,0,0
24,2/15/20,0,0,0.0,0,0,0,0
25,2/16/20,0,0,0.0,0,0,0,0
26,2/17/20,0,0,0.0,0,0,0,0
27,2/18/20,0,0,0.0,0,0,0,0
28,2/19/20,0,0,0.0,0,0,0,0
29,2/20/20,0,0,0.0,0,0,0,0
30,2/21/20,0,0,0.0,0,0,0,0
31,2/22/20,0,0,0.0,0,0,0,0
32,2/23/20,0,0,0.0,0,0,0,0
33,2/24/20,0,0,0.0,0,0,0,0
34,2/25/20,1,0,0.0,1,0,0,0
35,2/26/20,1,0,0.0,0,0,0,0
36,2/27/20,1,0,0.0,0,0,0,0
37,2/28/20,1,0,0.0,0,0,0,0
38,2/29/20,1,0,0.0,0,0,0,0
39,3/1/20,1,0,0.0,0,0,0,0
40,3/2/20,3,0,0.0,2,0,0,0
41,3/3/20,5,0,0.0,2,0,0,0
42,3/4/20,12,0,0.0,7,0,0,0
43,3/5/20,12,0,0.0,0,0,0,0
44,3/6/20,17,0,0.0,5,0,0,0
45,3/7/20,17,0,0.0,0,0,0,0
46,3/8/20,19,0,0.0,2,0,0,0
47,3/9/20,20,0,0.0,1,0,0,0
48,3/10/20,20,0,0.0,0,0,0,0
49,3/11/20,20,0,0.0,0,0,0,0
50,3/12/20,24,1,8.0,4,1,8,9
51,3/13/20,26,2,8.0,2,1,0,1
52,3/14/20,37,3,12.0,11,1,4,5
53,3/15/20,48,4,12.0,11,1,0,1
54,3/16/20,54,4,12.0,6,0,0,0
55,3/17/20,60,4,12.0,6,0,0,0
56,3/18/20,74,7,12.0,14,3,0,3
57,3/19/20,87,9,32.0,13,2,20,22
58,3/20/20,90,11,32.0,3,2,0,2
59,3/21/20,139,15,32.0,49,4,0,4
60,3/22/20,201,17,65.0,62,2,33,35
61,3/23/20,230,17,65.0,29,0,0,0
62,3/24/20,264,19,,34,2,0,-39
63,3/25/20,302,21,65.0,38,2,0,43
64,3/26/20,367,25,,65,4,0,-32
65,3/27/20,409,26,65.0,42,1,0,1
66,3/28/20,454,29,65.0,45,3,0,5
67,3/29/20,511,31,65.0,57,2,0,2
68,3/30/20,584,35,65.0,73,4,0,10
69,3/31/20,716,44,65.0,132,9,0,18
70,4/1/20,847,58,65.0,131,14,0,29
71,4/2/20,986,86,65.0,139,28,0,28
72,4/3/20,1171,105,65.0,185,19,0,20
73,4/4/20,1251,130,90.0,80,25,25,53
74,4/5/20,1320,152,90.0,69,22,0,22
75,4/6/20,1423,173,90.0,103,21,0,21
76,4/7/20,1468,193,113.0,45,20,23,43
77,4/8/20,1572,205,237.0,104,12,124,136
78,4/9/20,1666,235,347.0,94,30,110,140
79,4/10/20,1761,256,405.0,95,21,58,79
