,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,1,0,0,1,0,0,0
42,3/4/20,1,0,0,0,0,0,0
43,3/5/20,1,0,0,0,0,0,0
44,3/6/20,2,0,0,1,0,0,0
45,3/7/20,8,0,0,6,0,0,0
46,3/8/20,12,1,0,4,1,0,1
47,3/9/20,12,1,0,0,0,0,0
48,3/10/20,17,1,0,5,0,0,0
49,3/11/20,19,1,0,2,0,0,0
50,3/12/20,19,1,0,0,0,0,0
51,3/13/20,31,2,0,12,1,0,1
52,3/14/20,34,2,1,3,0,1,1
53,3/15/20,45,2,1,11,0,0,0
54,3/16/20,56,2,1,11,0,0,0
55,3/17/20,68,2,3,12,0,2,2
56,3/18/20,79,2,3,11,0,0,0
57,3/19/20,97,3,3,18,1,0,1
58,3/20/20,128,3,3,31,0,0,0
59,3/21/20,158,4,3,30,1,0,1
60,3/22/20,266,4,3,108,0,0,0
61,3/23/20,301,4,3,35,0,0,0
62,3/24/20,387,6,52,86,2,49,51
63,3/25/20,387,8,52,0,2,0,2
64,3/26/20,502,9,63,115,1,11,12
65,3/27/20,589,13,72,87,4,9,13
66,3/28/20,690,18,72,101,5,0,5
67,3/29/20,745,19,72,55,1,0,1
68,3/30/20,820,23,228,75,4,156,160
69,3/31/20,1054,27,240,234,4,12,16
70,4/1/20,1054,28,248,0,1,8,9
71,4/2/20,1133,36,256,79,8,8,16
72,4/3/20,1265,39,266,132,3,10,13
73,4/4/20,1451,43,279,186,4,13,17
74,4/5/20,1451,44,280,0,1,1,2
75,4/6/20,1554,48,325,103,4,45,49
76,4/7/20,1628,56,338,74,8,13,21
77,4/8/20,1715,63,358,87,7,20,27
78,4/9/20,1795,72,365,80,9,7,16
79,4/10/20,1975,82,375,180,10,10,20
