,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0.0,0,0,0,0
1,1/23/20,0,0,0.0,0,0,0,0
2,1/24/20,0,0,0.0,0,0,0,0
3,1/25/20,0,0,0.0,0,0,0,0
4,1/26/20,0,0,0.0,0,0,0,0
5,1/27/20,0,0,0.0,0,0,0,0
6,1/28/20,0,0,0.0,0,0,0,0
7,1/29/20,0,0,0.0,0,0,0,0
8,1/30/20,0,0,0.0,0,0,0,0
9,1/31/20,0,0,0.0,0,0,0,0
10,2/1/20,0,0,0.0,0,0,0,0
11,2/2/20,0,0,0.0,0,0,0,0
12,2/3/20,0,0,0.0,0,0,0,0
13,2/4/20,0,0,0.0,0,0,0,0
14,2/5/20,0,0,0.0,0,0,0,0
15,2/6/20,0,0,0.0,0,0,0,0
16,2/7/20,0,0,0.0,0,0,0,0
17,2/8/20,0,0,0.0,0,0,0,0
18,2/9/20,0,0,0.0,0,0,0,0
19,2/10/20,0,0,0.0,0,0,0,0
20,2/11/20,0,0,0.0,0,0,0,0
21,2/12/20,0,0,0.0,0,0,0,0
22,2/13/20,0,0,0.0,0,0,0,0
23,2/14/20,0,0,0.0,0,0,0,0
24,2/15/20,0,0,0.0,0,0,0,0
25,2/16/20,0,0,0.0,0,0,0,0
26,2/17/20,0,0,0.0,0,0,0,0
27,2/18/20,0,0,0.0,0,0,0,0
28,2/19/20,0,0,0.0,0,0,0,0
29,2/20/20,0,0,0.0,0,0,0,0
30,2/21/20,0,0,0.0,0,0,0,0
31,2/22/20,0,0,0.0,0,0,0,0
32,2/23/20,0,0,0.0,0,0,0,0
33,2/24/20,0,0,0.0,0,0,0,0
34,2/25/20,2,0,0.0,2,0,0,0
35,2/26/20,2,0,0.0,0,0,0,0
36,2/27/20,3,0,0.0,1,0,0,0
37,2/28/20,3,0,0.0,0,0,0,0
38,2/29/20,9,0,0.0,6,0,0,0
39,3/1/20,14,0,0.0,5,0,0,0
40,3/2/20,18,0,0.0,4,0,0,0
41,3/3/20,21,0,0.0,3,0,0,0
42,3/4/20,29,0,0.0,8,0,0,0
43,3/5/20,41,0,0.0,12,0,0,0
44,3/6/20,55,0,0.0,14,0,0,0
45,3/7/20,79,0,0.0,24,0,0,0
46,3/8/20,104,0,0.0,25,0,0,0
47,3/9/20,131,0,2.0,27,0,2,2
48,3/10/20,182,0,4.0,51,0,2,2
49,3/11/20,246,0,4.0,64,0,0,0
50,3/12/20,302,1,4.0,56,1,0,1
51,3/13/20,504,1,6.0,202,0,2,2
52,3/14/20,655,1,6.0,151,0,0,0
53,3/15/20,860,1,6.0,205,0,0,0
54,3/16/20,1018,3,6.0,158,2,0,2
55,3/17/20,1332,3,,314,0,0,-5
56,3/18/20,1646,4,9.0,314,1,0,9
57,3/19/20,2013,6,9.0,367,2,0,2
58,3/20/20,2388,6,9.0,375,0,0,0
59,3/21/20,2814,8,9.0,426,2,0,2
60,3/22/20,3582,16,9.0,768,8,0,8
61,3/23/20,4474,21,9.0,892,5,0,5
62,3/24/20,5283,28,9.0,809,7,0,7
63,3/25/20,5588,30,9.0,305,2,0,2
64,3/26/20,6909,49,112.0,1321,19,103,122
65,3/27/20,7657,58,225.0,748,9,113,122
66,3/28/20,8271,68,225.0,614,10,0,10
67,3/29/20,8788,86,479.0,517,18,254,272
68,3/30/20,9618,108,636.0,830,22,157,179
69,3/31/20,10180,128,1095.0,562,20,459,479
70,4/1/20,10711,146,1436.0,531,18,341,359
71,4/2/20,11129,158,1749.0,418,12,313,325
72,4/3/20,11524,168,2022.0,395,10,273,283
73,4/4/20,11781,186,2507.0,257,18,485,503
74,4/5/20,12051,204,2998.0,270,18,491,509
75,4/6/20,12297,220,3463.0,246,16,465,481
76,4/7/20,12639,243,4046.0,342,23,583,606
77,4/8/20,12942,273,4512.0,303,30,466,496
78,4/9/20,13244,295,5240.0,302,22,728,750
79,4/10/20,13555,319,6064.0,311,24,824,848
