,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0
42,3/4/20,0,0,0,0,0,0,0
43,3/5/20,0,0,0,0,0,0,0
44,3/6/20,0,0,0,0,0,0,0
45,3/7/20,0,0,0,0,0,0,0
46,3/8/20,3,0,0,3,0,0,0
47,3/9/20,3,0,0,0,0,0,0
48,3/10/20,3,0,0,0,0,0,0
49,3/11/20,3,0,0,0,0,0,0
50,3/12/20,3,0,0,0,0,0,0
51,3/13/20,3,0,0,0,0,0,0
52,3/14/20,3,0,0,0,0,0,0
53,3/15/20,5,0,0,2,0,0,0
54,3/16/20,8,0,2,3,0,2,2
55,3/17/20,10,0,3,2,0,1,1
56,3/18/20,14,1,3,4,1,0,1
57,3/19/20,17,1,3,3,0,0,0
58,3/20/20,20,1,3,3,0,0,0
59,3/21/20,25,2,3,5,1,0,1
60,3/22/20,27,2,3,2,0,0,0
61,3/23/20,33,3,3,6,1,0,1
62,3/24/20,39,4,5,6,1,2,3
63,3/25/20,39,5,7,0,1,2,3
64,3/26/20,44,5,11,5,0,4,4
65,3/27/20,48,5,11,4,0,0,0
66,3/28/20,48,5,15,0,0,4,4
67,3/29/20,48,5,15,0,0,0,0
68,3/30/20,49,5,19,1,0,4,4
69,3/31/20,51,5,25,2,0,6,6
70,4/1/20,54,6,25,3,1,0,1
71,4/2/20,56,6,25,2,0,0,0
72,4/3/20,61,6,26,5,0,1,1
73,4/4/20,70,8,30,9,2,4,6
74,4/5/20,88,9,33,18,1,3,4
75,4/6/20,123,12,33,35,3,0,3
76,4/7/20,164,17,33,41,5,0,5
77,4/8/20,218,20,33,54,3,0,3
78,4/9/20,330,21,33,112,1,0,1
79,4/10/20,424,27,33,94,6,0,6
