,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0.0,0,0,0,0
1,1/23/20,0,0,0.0,0,0,0,0
2,1/24/20,0,0,0.0,0,0,0,0
3,1/25/20,0,0,0.0,0,0,0,0
4,1/26/20,0,0,0.0,0,0,0,0
5,1/27/20,0,0,0.0,0,0,0,0
6,1/28/20,0,0,0.0,0,0,0,0
7,1/29/20,0,0,0.0,0,0,0,0
8,1/30/20,0,0,0.0,0,0,0,0
9,1/31/20,0,0,0.0,0,0,0,0
10,2/1/20,0,0,0.0,0,0,0,0
11,2/2/20,0,0,0.0,0,0,0,0
12,2/3/20,0,0,0.0,0,0,0,0
13,2/4/20,0,0,0.0,0,0,0,0
14,2/5/20,0,0,0.0,0,0,0,0
15,2/6/20,0,0,0.0,0,0,0,0
16,2/7/20,0,0,0.0,0,0,0,0
17,2/8/20,0,0,0.0,0,0,0,0
18,2/9/20,0,0,0.0,0,0,0,0
19,2/10/20,0,0,0.0,0,0,0,0
20,2/11/20,0,0,0.0,0,0,0,0
21,2/12/20,0,0,0.0,0,0,0,0
22,2/13/20,0,0,0.0,0,0,0,0
23,2/14/20,0,0,0.0,0,0,0,0
24,2/15/20,0,0,0.0,0,0,0,0
25,2/16/20,0,0,0.0,0,0,0,0
26,2/17/20,0,0,0.0,0,0,0,0
27,2/18/20,0,0,0.0,0,0,0,0
28,2/19/20,0,0,0.0,0,0,0,0
29,2/20/20,0,0,0.0,0,0,0,0
30,2/21/20,0,0,0.0,0,0,0,0
31,2/22/20,0,0,0.0,0,0,0,0
32,2/23/20,0,0,0.0,0,0,0,0
33,2/24/20,0,0,0.0,0,0,0,0
34,2/25/20,0,0,0.0,0,0,0,0
35,2/26/20,0,0,0.0,0,0,0,0
36,2/27/20,0,0,0.0,0,0,0,0
37,2/28/20,1,0,0.0,1,0,0,0
38,2/29/20,1,0,0.0,0,0,0,0
39,3/1/20,1,0,0.0,0,0,0,0
40,3/2/20,1,0,0.0,0,0,0,0
41,3/3/20,1,0,0.0,0,0,0,0
42,3/4/20,6,0,0.0,5,0,0,0
43,3/5/20,6,0,0.0,0,0,0,0
44,3/6/20,6,0,0.0,0,0,0,0
45,3/7/20,6,0,0.0,0,0,0,0
46,3/8/20,6,0,0.0,0,0,0,0
47,3/9/20,6,0,1.0,0,0,1,1
48,3/10/20,9,0,3.0,3,0,2,2
49,3/11/20,9,0,3.0,0,0,0,0
50,3/12/20,12,0,3.0,3,0,0,0
51,3/13/20,27,0,3.0,15,0,0,0
52,3/14/20,27,0,3.0,0,0,0,0
53,3/15/20,27,0,3.0,0,0,0,0
54,3/16/20,36,0,3.0,9,0,0,0
55,3/17/20,36,0,3.0,0,0,0,0
56,3/18/20,51,0,5.0,15,0,2,2
57,3/19/20,51,0,5.0,0,0,0,0
58,3/20/20,69,0,5.0,18,0,0,0
59,3/21/20,76,0,15.0,7,0,10,10
60,3/22/20,76,0,15.0,0,0,0,0
61,3/23/20,81,0,15.0,5,0,0,0
62,3/24/20,81,0,22.0,0,0,7,7
63,3/25/20,86,0,29.0,5,0,7,7
64,3/26/20,86,0,29.0,0,0,0,0
65,3/27/20,94,0,32.0,8,0,3,3
66,3/28/20,94,0,32.0,0,0,0,0
67,3/29/20,94,0,32.0,0,0,0,0
68,3/30/20,152,0,32.0,58,0,0,0
69,3/31/20,152,1,47.0,0,1,15,16
70,4/1/20,163,2,53.0,11,1,6,7
71,4/2/20,304,4,53.0,141,2,0,2
72,4/3/20,351,4,53.0,47,0,0,0
73,4/4/20,440,5,53.0,89,1,0,1
74,4/5/20,562,8,,122,3,0,2
75,4/6/20,700,13,53.0,138,5,0,6
76,4/7/20,861,13,54.0,161,0,1,1
77,4/8/20,1066,13,77.0,205,0,23,23
78,4/9/20,1486,16,139.0,420,3,62,65
79,4/10/20,1981,19,169.0,495,3,30,33
