,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0.0,0,0,0,0
1,1/23/20,0,0,0.0,0,0,0,0
2,1/24/20,0,0,0.0,0,0,0,0
3,1/25/20,0,0,0.0,0,0,0,0
4,1/26/20,0,0,0.0,0,0,0,0
5,1/27/20,0,0,0.0,0,0,0,0
6,1/28/20,0,0,0.0,0,0,0,0
7,1/29/20,0,0,0.0,0,0,0,0
8,1/30/20,0,0,0.0,0,0,0,0
9,1/31/20,0,0,0.0,0,0,0,0
10,2/1/20,0,0,0.0,0,0,0,0
11,2/2/20,0,0,0.0,0,0,0,0
12,2/3/20,0,0,0.0,0,0,0,0
13,2/4/20,1,0,0.0,1,0,0,0
14,2/5/20,1,0,0.0,0,0,0,0
15,2/6/20,1,0,0.0,0,0,0,0
16,2/7/20,1,0,0.0,0,0,0,0
17,2/8/20,1,0,0.0,0,0,0,0
18,2/9/20,1,0,0.0,0,0,0,0
19,2/10/20,1,0,0.0,0,0,0,0
20,2/11/20,1,0,0.0,0,0,0,0
21,2/12/20,1,0,0.0,0,0,0,0
22,2/13/20,1,0,0.0,0,0,0,0
23,2/14/20,1,0,0.0,0,0,0,0
24,2/15/20,1,0,0.0,0,0,0,0
25,2/16/20,1,0,0.0,0,0,0,0
26,2/17/20,1,0,1.0,0,0,1,1
27,2/18/20,1,0,1.0,0,0,0,0
28,2/19/20,1,0,1.0,0,0,0,0
29,2/20/20,1,0,1.0,0,0,0,0
30,2/21/20,1,0,1.0,0,0,0,0
31,2/22/20,1,0,1.0,0,0,0,0
32,2/23/20,1,0,1.0,0,0,0,0
33,2/24/20,1,0,1.0,0,0,0,0
34,2/25/20,1,0,1.0,0,0,0,0
35,2/26/20,1,0,1.0,0,0,0,0
36,2/27/20,1,0,1.0,0,0,0,0
37,2/28/20,1,0,1.0,0,0,0,0
38,2/29/20,1,0,1.0,0,0,0,0
39,3/1/20,2,0,1.0,1,0,0,0
40,3/2/20,8,0,1.0,6,0,0,0
41,3/3/20,13,0,1.0,5,0,0,0
42,3/4/20,23,0,1.0,10,0,0,0
43,3/5/20,50,0,1.0,27,0,0,0
44,3/6/20,109,0,1.0,59,0,0,0
45,3/7/20,169,0,1.0,60,0,0,0
46,3/8/20,200,0,1.0,31,0,0,0
47,3/9/20,239,0,1.0,39,0,0,0
48,3/10/20,267,0,1.0,28,0,0,0
49,3/11/20,314,3,1.0,47,3,0,3
50,3/12/20,314,3,1.0,0,0,0,0
51,3/13/20,559,3,1.0,245,0,0,0
52,3/14/20,689,4,1.0,130,1,0,1
53,3/15/20,886,4,1.0,197,0,0,0
54,3/16/20,1058,5,1.0,172,1,0,1
55,3/17/20,1243,10,1.0,185,5,0,5
56,3/18/20,1486,14,31.0,243,4,30,34
57,3/19/20,1795,21,31.0,309,7,0,7
58,3/20/20,2257,37,,462,16,0,-14
59,3/21/20,2815,67,263.0,558,30,0,292
60,3/22/20,3401,75,263.0,586,8,0,8
61,3/23/20,3743,88,263.0,342,13,0,13
62,3/24/20,4269,122,461.0,526,34,198,232
63,3/25/20,4937,178,547.0,668,56,86,142
64,3/26/20,6235,220,675.0,1298,42,128,170
65,3/27/20,7284,289,858.0,1049,69,183,252
66,3/28/20,9134,353,1063.0,1850,64,205,269
67,3/29/20,10836,431,1359.0,1702,78,296,374
68,3/30/20,11899,513,1527.0,1063,82,168,250
69,3/31/20,12775,705,1696.0,876,192,169,361
70,4/1/20,13964,828,2132.0,1189,123,436,559
71,4/2/20,15348,1011,2495.0,1384,183,363,546
72,4/3/20,16770,1143,2872.0,1422,132,377,509
73,4/4/20,18431,1283,3247.0,1661,140,375,515
74,4/5/20,19691,1447,3751.0,1260,164,504,668
75,4/6/20,20814,1632,3986.0,1123,185,235,420
76,4/7/20,22194,2035,4157.0,1380,403,171,574
77,4/8/20,23403,2240,4681.0,1209,205,524,729
