,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,1,0,0,1,0,0,0
36,2/27/20,1,0,0,0,0,0,0
37,2/28/20,1,0,0,0,0,0,0
38,2/29/20,2,0,0,1,0,0,0
39,3/1/20,2,0,0,0,0,0,0
40,3/2/20,2,0,0,0,0,0,0
41,3/3/20,2,0,0,0,0,0,0
42,3/4/20,4,0,0,2,0,0,0
43,3/5/20,4,0,0,0,0,0,0
44,3/6/20,13,0,0,9,0,0,0
45,3/7/20,13,0,0,0,0,0,0
46,3/8/20,20,0,0,7,0,0,0
47,3/9/20,25,0,0,5,0,0,0
48,3/10/20,31,0,0,6,0,0,0
49,3/11/20,38,0,0,7,0,0,0
50,3/12/20,52,0,0,14,0,0,0
51,3/13/20,151,0,0,99,0,0,0
52,3/14/20,151,0,0,0,0,0,0
53,3/15/20,162,0,0,11,0,0,0
54,3/16/20,200,0,1,38,0,1,1
55,3/17/20,321,1,2,121,1,1,2
56,3/18/20,372,3,2,51,2,0,2
57,3/19/20,621,6,2,249,3,0,3
58,3/20/20,793,11,2,172,5,0,5
59,3/21/20,1021,15,2,228,4,0,4
60,3/22/20,1546,25,2,525,10,0,10
61,3/23/20,1924,34,2,378,9,0,9
62,3/24/20,2247,46,2,323,12,0,12
63,3/25/20,2554,59,2,307,13,0,13
64,3/26/20,2985,77,6,431,18,4,22
65,3/27/20,3417,92,6,432,15,0,15
66,3/28/20,3904,111,6,487,19,0,19
67,3/29/20,4256,136,6,352,25,0,25
68,3/30/20,4579,159,120,323,23,114,137
69,3/31/20,5717,201,127,1138,42,7,49
70,4/1/20,6836,240,127,1119,39,0,39
71,4/2/20,8044,324,127,1208,84,0,84
72,4/3/20,9056,359,127,1012,35,0,35
73,4/4/20,10360,445,127,1304,86,0,86
74,4/5/20,11130,486,127,770,41,0,41
75,4/6/20,12161,564,127,1031,78,0,78
76,4/7/20,14034,686,127,1873,122,0,122
77,4/8/20,16170,819,127,2136,133,0,133
78,4/9/20,18092,950,173,1922,131,46,177
79,4/10/20,19638,1057,173,1546,107,0,107
