,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0
42,3/4/20,0,0,0,0,0,0,0
43,3/5/20,0,0,0,0,0,0,0
44,3/6/20,0,0,0,0,0,0,0
45,3/7/20,0,0,0,0,0,0,0
46,3/8/20,4,0,0,4,0,0,0
47,3/9/20,4,0,0,0,0,0,0
48,3/10/20,4,0,0,0,0,0,0
49,3/11/20,7,1,0,3,1,0,1
50,3/12/20,7,1,0,0,0,0,0
51,3/13/20,23,1,0,16,0,0,0
52,3/14/20,41,2,0,18,1,0,1
53,3/15/20,51,2,0,10,0,0,0
54,3/16/20,52,2,0,1,0,0,0
55,3/17/20,67,2,0,15,0,0,0
56,3/18/20,92,2,0,25,0,0,0
57,3/19/20,94,3,0,2,1,0,1
58,3/20/20,127,3,0,33,0,0,0
59,3/21/20,163,3,3,36,0,3,3
60,3/22/20,187,3,3,24,0,0,0
61,3/23/20,201,3,3,14,0,0,0
62,3/24/20,218,3,3,17,0,0,0
63,3/25/20,242,3,4,24,0,1,1
64,3/26/20,264,3,8,22,0,4,4
65,3/27/20,293,3,9,29,0,1,1
66,3/28/20,331,7,11,38,4,2,6
67,3/29/20,346,8,14,15,1,3,4
68,3/30/20,359,8,17,13,0,3,3
69,3/31/20,399,8,17,40,0,0,0
70,4/1/20,422,10,20,23,2,3,5
71,4/2/20,457,10,25,35,0,5,5
72,4/3/20,485,14,30,28,4,5,9
73,4/4/20,503,17,34,18,3,4,7
74,4/5/20,531,20,37,28,3,3,6
75,4/6/20,549,22,39,18,2,2,4
76,4/7/20,577,23,42,28,1,3,4
77,4/8/20,593,24,42,16,1,0,1
78,4/9/20,618,24,48,25,0,6,6
79,4/10/20,635,25,54,17,1,6,7
