,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0
42,3/4/20,0,0,0,0,0,0,0
43,3/5/20,0,0,0,0,0,0,0
44,3/6/20,0,0,0,0,0,0,0
45,3/7/20,0,0,0,0,0,0,0
46,3/8/20,0,0,0,0,0,0,0
47,3/9/20,0,0,0,0,0,0,0
48,3/10/20,1,0,0,1,0,0,0
49,3/11/20,2,0,0,1,0,0,0
50,3/12/20,2,0,0,0,0,0,0
51,3/13/20,2,0,0,0,0,0,0
52,3/14/20,2,0,0,0,0,0,0
53,3/15/20,3,0,0,1,0,0,0
54,3/16/20,15,0,0,12,0,0,0
55,3/17/20,15,0,0,0,0,0,0
56,3/18/20,20,1,0,5,1,0,1
57,3/19/20,33,1,0,13,0,0,0
58,3/20/20,40,1,0,7,0,0,0
59,3/21/20,64,2,5,24,1,5,6
60,3/22/20,75,4,5,11,2,0,2
61,3/23/20,99,4,5,24,0,0,0
62,3/24/20,114,4,7,15,0,2,2
63,3/25/20,146,4,10,32,0,3,3
64,3/26/20,152,7,10,6,3,0,3
65,3/27/20,180,9,12,28,2,2,4
66,3/28/20,207,11,21,27,2,9,11
67,3/29/20,222,12,23,15,1,2,3
68,3/30/20,246,12,31,24,0,8,8
69,3/31/20,261,14,32,15,2,1,3
70,4/1/20,282,16,46,21,2,14,16
71,4/2/20,288,16,50,6,0,4,4
72,4/3/20,302,16,50,14,0,0,0
73,4/4/20,318,16,66,16,0,16,16
74,4/5/20,345,17,90,27,1,24,25
75,4/6/20,364,18,108,19,1,18,19
76,4/7/20,384,19,127,20,1,19,20
77,4/8/20,414,23,134,30,4,7,11
78,4/9/20,443,24,146,29,1,12,13
79,4/10/20,443,24,146,0,0,0,0
