,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0
42,3/4/20,0,0,0,0,0,0,0
43,3/5/20,0,0,0,0,0,0,0
44,3/6/20,1,0,0,1,0,0,0
45,3/7/20,1,0,0,0,0,0,0
46,3/8/20,1,0,0,0,0,0,0
47,3/9/20,1,0,0,0,0,0,0
48,3/10/20,3,0,0,2,0,0,0
49,3/11/20,9,0,0,6,0,0,0
50,3/12/20,9,0,0,0,0,0,0
51,3/13/20,13,0,0,4,0,0,0
52,3/14/20,22,0,0,9,0,0,0
53,3/15/20,34,0,0,12,0,0,0
54,3/16/20,54,0,0,20,0,0,0
55,3/17/20,65,0,1,11,0,1,1
56,3/18/20,93,0,1,28,0,0,0
57,3/19/20,102,0,1,9,0,0,0
58,3/20/20,128,0,1,26,0,0,0
59,3/21/20,196,0,1,68,0,0,0
60,3/22/20,231,2,3,35,2,2,4
61,3/23/20,277,3,3,46,1,0,1
62,3/24/20,378,3,6,101,0,3,3
63,3/25/20,470,4,8,92,1,2,3
64,3/26/20,491,6,8,21,2,0,2
65,3/27/20,539,6,10,48,0,2,2
66,3/28/20,608,6,10,69,0,0,0
67,3/29/20,702,10,10,94,4,0,4
68,3/30/20,798,12,15,96,2,5,7
69,3/31/20,906,16,31,108,4,16,20
70,4/1/20,1065,17,39,159,1,8,9
71,4/2/20,1161,19,55,96,2,16,18
72,4/3/20,1267,25,55,106,6,0,6
73,4/4/20,1406,32,85,139,7,30,37
74,4/5/20,1485,35,88,79,3,3,6
75,4/6/20,1579,46,88,94,11,0,11
76,4/7/20,1780,50,100,201,4,12,16
77,4/8/20,2054,54,123,274,4,23,27
78,4/9/20,2223,69,174,169,15,51,66
79,4/10/20,2473,80,197,250,11,23,34
