,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,1,0,0,1,0,0,0
35,2/26/20,3,0,0,2,0,0,0
36,2/27/20,3,0,0,0,0,0,0
37,2/28/20,5,0,0,2,0,0,0
38,2/29/20,6,0,0,1,0,0,0
39,3/1/20,7,0,0,1,0,0,0
40,3/2/20,7,0,0,0,0,0,0
41,3/3/20,9,0,0,2,0,0,0
42,3/4/20,10,0,0,1,0,0,0
43,3/5/20,10,0,0,0,0,0,0
44,3/6/20,11,0,0,1,0,0,0
45,3/7/20,12,0,0,1,0,0,0
46,3/8/20,12,0,0,0,0,0,0
47,3/9/20,12,0,0,0,0,0,0
48,3/10/20,14,0,0,2,0,0,0
49,3/11/20,19,0,0,5,0,0,0
50,3/12/20,19,0,0,0,0,0,0
51,3/13/20,32,0,1,13,0,1,1
52,3/14/20,38,0,1,6,0,0,0
53,3/15/20,49,0,1,11,0,0,0
54,3/16/20,57,0,2,8,0,1,1
55,3/17/20,65,0,4,8,0,2,2
56,3/18/20,81,0,4,16,0,0,0
57,3/19/20,105,1,5,24,1,1,2
58,3/20/20,128,1,5,23,0,0,0
59,3/21/20,206,1,5,78,0,0,0
60,3/22/20,254,1,5,48,0,0,0
61,3/23/20,315,1,5,61,0,0,0
62,3/24/20,382,1,5,67,0,0,0
63,3/25/20,442,1,22,60,0,17,17
64,3/26/20,495,3,22,53,2,0,2
65,3/27/20,586,3,37,91,0,15,15
66,3/28/20,657,5,45,71,2,8,10
67,3/29/20,713,6,52,56,1,7,8
68,3/30/20,790,6,67,77,0,15,15
69,3/31/20,867,6,67,77,0,0,0
70,4/1/20,963,6,73,96,0,6,6
71,4/2/20,1011,7,88,48,1,15,16
72,4/3/20,1079,8,92,68,1,4,5
73,4/4/20,1126,12,119,47,4,27,31
74,4/5/20,1182,15,125,56,3,6,9
75,4/6/20,1222,16,130,40,1,5,6
76,4/7/20,1282,18,167,60,2,37,39
77,4/8/20,1343,19,179,61,1,12,13
78,4/9/20,1407,20,219,64,1,40,41
79,4/10/20,1495,21,231,88,1,12,13
