,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0.0,0,0,0,0,0
1,1/23/20,0,0.0,0,0,0,0,0
2,1/24/20,0,0.0,0,0,0,0,0
3,1/25/20,0,0.0,0,0,0,0,0
4,1/26/20,0,0.0,0,0,0,0,0
5,1/27/20,0,0.0,0,0,0,0,0
6,1/28/20,0,0.0,0,0,0,0,0
7,1/29/20,0,0.0,0,0,0,0,0
8,1/30/20,0,0.0,0,0,0,0,0
9,1/31/20,0,0.0,0,0,0,0,0
10,2/1/20,0,0.0,0,0,0,0,0
11,2/2/20,0,0.0,0,0,0,0,0
12,2/3/20,0,0.0,0,0,0,0,0
13,2/4/20,0,0.0,0,0,0,0,0
14,2/5/20,0,0.0,0,0,0,0,0
15,2/6/20,0,0.0,0,0,0,0,0
16,2/7/20,0,0.0,0,0,0,0,0
17,2/8/20,0,0.0,0,0,0,0,0
18,2/9/20,0,0.0,0,0,0,0,0
19,2/10/20,0,0.0,0,0,0,0,0
20,2/11/20,0,0.0,0,0,0,0,0
21,2/12/20,0,0.0,0,0,0,0,0
22,2/13/20,0,0.0,0,0,0,0,0
23,2/14/20,0,0.0,0,0,0,0,0
24,2/15/20,0,0.0,0,0,0,0,0
25,2/16/20,0,0.0,0,0,0,0,0
26,2/17/20,0,0.0,0,0,0,0,0
27,2/18/20,0,0.0,0,0,0,0,0
28,2/19/20,0,0.0,0,0,0,0,0
29,2/20/20,0,0.0,0,0,0,0,0
30,2/21/20,0,0.0,0,0,0,0,0
31,2/22/20,0,0.0,0,0,0,0,0
32,2/23/20,0,0.0,0,0,0,0,0
33,2/24/20,0,0.0,0,0,0,0,0
34,2/25/20,0,0.0,0,0,0,0,0
35,2/26/20,0,0.0,0,0,0,0,0
36,2/27/20,0,0.0,0,0,0,0,0
37,2/28/20,0,0.0,0,0,0,0,0
38,2/29/20,0,0.0,0,0,0,0,0
39,3/1/20,0,0.0,0,0,0,0,0
40,3/2/20,0,0.0,0,0,0,0,0
41,3/3/20,0,0.0,0,0,0,0,0
42,3/4/20,0,0.0,0,0,0,0,0
43,3/5/20,0,0.0,0,0,0,0,0
44,3/6/20,0,0.0,0,0,0,0,0
45,3/7/20,0,0.0,0,0,0,0,0
46,3/8/20,0,0.0,0,0,0,0,0
47,3/9/20,2,0.0,0,2,0,0,0
48,3/10/20,3,0.0,0,1,0,0,0
49,3/11/20,6,0.0,0,3,0,0,0
50,3/12/20,6,0.0,0,0,0,0,0
51,3/13/20,14,0.0,0,8,0,0,0
52,3/14/20,26,0.0,0,12,0,0,0
53,3/15/20,26,0.0,0,0,0,0,0
54,3/16/20,33,0.0,0,7,0,0,0
55,3/17/20,46,0.0,0,13,0,0,0
56,3/18/20,49,0.0,0,3,0,0,0
57,3/19/20,67,0.0,0,18,0,0,0
58,3/20/20,67,0.0,0,0,0,0,0
59,3/21/20,84,0.0,0,17,0,0,0
60,3/22/20,95,1.0,3,11,1,3,4
61,3/23/20,116,1.0,3,21,0,0,0
62,3/24/20,124,3.0,3,8,2,0,2
63,3/25/20,132,3.0,3,8,0,0,0
64,3/26/20,146,3.0,4,14,0,1,1
65,3/27/20,162,5.0,15,16,2,11,13
66,3/28/20,179,5.0,15,17,0,0,0
67,3/29/20,214,5.0,15,35,0,0,0
68,3/30/20,230,7.0,22,16,2,7,9
69,3/31/20,262,8.0,23,32,1,1,2
70,4/1/20,320,9.0,28,58,1,5,6
71,4/2/20,356,10.0,28,36,1,0,1
72,4/3/20,396,11.0,28,40,1,0,1
73,4/4/20,426,11.0,33,30,0,5,5
74,4/5/20,446,,37,20,0,4,2
75,4/6/20,465,11.0,45,19,0,8,8
76,4/7/20,494,11.0,47,29,0,2,2
77,4/8/20,526,11.0,52,32,0,5,5
78,4/9/20,564,11.0,53,38,0,1,2
79,4/10/20,595,11.0,58,31,0,5,5
