,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,1,0,0,1,0,0,0
37,2/28/20,1,0,0,0,0,0,0
38,2/29/20,3,0,0,2,0,0,0
39,3/1/20,4,0,0,1,0,0,0
40,3/2/20,4,0,0,0,0,0,0
41,3/3/20,6,0,0,2,0,0,0
42,3/4/20,10,0,0,4,0,0,0
43,3/5/20,10,0,0,0,0,0,0
44,3/6/20,23,0,1,13,0,1,1
45,3/7/20,23,0,1,0,0,0,0
46,3/8/20,35,0,1,12,0,0,0
47,3/9/20,90,0,1,55,0,0,0
48,3/10/20,262,0,1,172,0,0,0
49,3/11/20,442,0,1,180,0,0,0
50,3/12/20,615,0,1,173,0,0,0
51,3/13/20,801,0,1,186,0,0,0
52,3/14/20,827,1,1,26,1,0,1
53,3/15/20,864,2,1,37,1,0,1
54,3/16/20,914,3,1,50,1,0,1
55,3/17/20,977,4,1,63,1,0,1
56,3/18/20,1057,4,1,80,0,0,0
57,3/19/20,1151,6,1,94,2,0,2
58,3/20/20,1255,9,1,104,3,0,3
59,3/21/20,1326,13,1,71,4,0,4
60,3/22/20,1395,13,1,69,0,0,0
61,3/23/20,1450,24,1,55,11,0,11
62,3/24/20,1591,32,1,141,8,0,8
63,3/25/20,1724,34,1,133,2,0,2
64,3/26/20,1877,41,1,153,7,0,7
65,3/27/20,2046,52,1,169,11,0,11
66,3/28/20,2201,65,1,155,13,0,13
67,3/29/20,2395,72,1,194,7,0,7
68,3/30/20,2577,77,1,182,5,0,5
69,3/31/20,2860,90,1,283,13,0,13
70,4/1/20,3107,104,894,247,14,893,907
71,4/2/20,3386,123,1089,279,19,195,214
72,4/3/20,3757,139,1193,371,16,104,120
73,4/4/20,4077,161,1283,320,22,90,112
74,4/5/20,4369,179,1327,292,18,44,62
75,4/6/20,4681,187,1378,312,8,51,59
76,4/7/20,5071,203,1491,390,16,113,129
77,4/8/20,5402,218,1621,331,15,130,145
78,4/9/20,5635,237,1736,233,19,115,134
79,4/10/20,5819,247,1773,184,10,37,47
