,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0.0,0,0,0,0
1,1/23/20,0,0,0.0,0,0,0,0
2,1/24/20,0,0,0.0,0,0,0,0
3,1/25/20,0,0,0.0,0,0,0,0
4,1/26/20,0,0,0.0,0,0,0,0
5,1/27/20,0,0,0.0,0,0,0,0
6,1/28/20,0,0,0.0,0,0,0,0
7,1/29/20,0,0,0.0,0,0,0,0
8,1/30/20,0,0,0.0,0,0,0,0
9,1/31/20,0,0,0.0,0,0,0,0
10,2/1/20,0,0,0.0,0,0,0,0
11,2/2/20,0,0,0.0,0,0,0,0
12,2/3/20,0,0,0.0,0,0,0,0
13,2/4/20,0,0,0.0,0,0,0,0
14,2/5/20,0,0,0.0,0,0,0,0
15,2/6/20,0,0,0.0,0,0,0,0
16,2/7/20,61,0,0.0,61,0,0,0
17,2/8/20,61,0,0.0,0,0,0,0
18,2/9/20,64,0,0.0,3,0,0,0
19,2/10/20,135,0,0.0,71,0,0,0
20,2/11/20,135,0,0.0,0,0,0,0
21,2/12/20,175,0,0.0,40,0,0,0
22,2/13/20,175,0,0.0,0,0,0,0
23,2/14/20,218,0,0.0,43,0,0,0
24,2/15/20,285,0,0.0,67,0,0,0
25,2/16/20,355,0,0.0,70,0,0,0
26,2/17/20,454,0,0.0,99,0,0,0
27,2/18/20,542,0,0.0,88,0,0,0
28,2/19/20,621,0,1.0,79,0,1,1
29,2/20/20,634,2,1.0,13,2,0,2
30,2/21/20,634,2,1.0,0,0,0,0
31,2/22/20,634,2,1.0,0,0,0,0
32,2/23/20,691,3,,57,1,0,0
33,2/24/20,691,3,,0,0,0,0
34,2/25/20,691,3,,0,0,0,0
35,2/26/20,705,4,10.0,14,1,0,11
36,2/27/20,705,4,10.0,0,0,0,0
37,2/28/20,705,6,10.0,0,2,0,2
38,2/29/20,705,6,10.0,0,0,0,0
39,3/1/20,705,6,10.0,0,0,0,0
40,3/2/20,705,6,10.0,0,0,0,0
41,3/3/20,706,6,10.0,1,0,0,0
42,3/4/20,706,6,10.0,0,0,0,0
43,3/5/20,706,6,10.0,0,0,0,0
44,3/6/20,706,6,40.0,0,0,30,30
45,3/7/20,706,6,40.0,0,0,0,0
46,3/8/20,706,6,40.0,0,0,0,0
47,3/9/20,706,6,40.0,0,0,0,0
48,3/10/20,706,6,40.0,0,0,0,0
49,3/11/20,706,7,325.0,0,1,285,286
50,3/12/20,706,7,325.0,0,0,0,0
51,3/13/20,706,7,325.0,0,0,0,0
52,3/14/20,706,7,325.0,0,0,0,0
53,3/15/20,706,7,325.0,0,0,0,0
54,3/16/20,706,7,325.0,0,0,0,0
55,3/17/20,706,7,325.0,0,0,0,0
56,3/18/20,712,7,325.0,6,0,0,0
57,3/19/20,712,7,325.0,0,0,0,0
58,3/20/20,712,7,325.0,0,0,0,0
59,3/21/20,712,8,325.0,0,1,0,1
60,3/22/20,712,8,325.0,0,0,0,0
61,3/23/20,712,8,325.0,0,0,0,0
62,3/24/20,712,10,325.0,0,2,0,2
63,3/25/20,712,10,587.0,0,0,262,262
64,3/26/20,712,10,597.0,0,0,10,10
65,3/27/20,712,10,597.0,0,0,0,0
66,3/28/20,712,10,597.0,0,0,0,0
67,3/29/20,712,10,603.0,0,0,6,6
68,3/30/20,712,10,603.0,0,0,0,0
69,3/31/20,712,10,603.0,0,0,0,0
70,4/1/20,712,11,603.0,0,1,0,1
71,4/2/20,712,11,619.0,0,0,16,16
72,4/3/20,712,11,619.0,0,0,0,0
73,4/4/20,712,11,619.0,0,0,0,0
74,4/5/20,712,11,619.0,0,0,0,0
75,4/6/20,712,11,619.0,0,0,0,0
76,4/7/20,712,11,619.0,0,0,0,0
77,4/8/20,712,11,619.0,0,0,0,0
78,4/9/20,712,11,619.0,0,0,0,0
79,4/10/20,712,11,619.0,0,0,0,0
