,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0.0,0,0,0,0
1,1/23/20,0,0,0.0,0,0,0,0
2,1/24/20,0,0,0.0,0,0,0,0
3,1/25/20,0,0,0.0,0,0,0,0
4,1/26/20,0,0,0.0,0,0,0,0
5,1/27/20,0,0,0.0,0,0,0,0
6,1/28/20,0,0,0.0,0,0,0,0
7,1/29/20,0,0,0.0,0,0,0,0
8,1/30/20,0,0,0.0,0,0,0,0
9,1/31/20,0,0,0.0,0,0,0,0
10,2/1/20,0,0,0.0,0,0,0,0
11,2/2/20,0,0,0.0,0,0,0,0
12,2/3/20,0,0,0.0,0,0,0,0
13,2/4/20,0,0,0.0,0,0,0,0
14,2/5/20,0,0,0.0,0,0,0,0
15,2/6/20,0,0,0.0,0,0,0,0
16,2/7/20,0,0,0.0,0,0,0,0
17,2/8/20,0,0,0.0,0,0,0,0
18,2/9/20,0,0,0.0,0,0,0,0
19,2/10/20,0,0,0.0,0,0,0,0
20,2/11/20,0,0,0.0,0,0,0,0
21,2/12/20,0,0,0.0,0,0,0,0
22,2/13/20,0,0,0.0,0,0,0,0
23,2/14/20,1,0,0.0,1,0,0,0
24,2/15/20,1,0,0.0,0,0,0,0
25,2/16/20,1,0,0.0,0,0,0,0
26,2/17/20,1,0,0.0,0,0,0,0
27,2/18/20,1,0,0.0,0,0,0,0
28,2/19/20,1,0,0.0,0,0,0,0
29,2/20/20,1,0,0.0,0,0,0,0
30,2/21/20,1,0,0.0,0,0,0,0
31,2/22/20,1,0,0.0,0,0,0,0
32,2/23/20,1,0,0.0,0,0,0,0
33,2/24/20,1,0,0.0,0,0,0,0
34,2/25/20,1,0,0.0,0,0,0,0
35,2/26/20,1,0,0.0,0,0,0,0
36,2/27/20,1,0,0.0,0,0,0,0
37,2/28/20,1,0,1.0,0,0,1,1
38,2/29/20,1,0,1.0,0,0,0,0
39,3/1/20,2,0,1.0,1,0,0,0
40,3/2/20,2,0,1.0,0,0,0,0
41,3/3/20,2,0,1.0,0,0,0,0
42,3/4/20,2,0,1.0,0,0,0,0
43,3/5/20,3,0,1.0,1,0,0,0
44,3/6/20,15,0,1.0,12,0,0,0
45,3/7/20,15,0,1.0,0,0,0,0
46,3/8/20,49,1,1.0,34,1,0,1
47,3/9/20,55,1,1.0,6,0,0,0
48,3/10/20,59,1,1.0,4,0,0,0
49,3/11/20,60,1,27.0,1,0,26,26
50,3/12/20,67,1,27.0,7,0,0,0
51,3/13/20,80,2,27.0,13,1,0,1
52,3/14/20,109,2,27.0,29,0,0,0
53,3/15/20,110,2,,1,0,0,-6
54,3/16/20,150,2,27.0,40,0,0,6
55,3/17/20,196,4,32.0,46,2,5,7
56,3/18/20,196,6,32.0,0,2,0,2
57,3/19/20,256,6,32.0,60,0,0,0
58,3/20/20,285,8,39.0,29,2,7,9
59,3/21/20,294,10,41.0,9,2,2,4
60,3/22/20,327,14,56.0,33,4,15,19
61,3/23/20,366,19,56.0,39,5,0,5
62,3/24/20,402,20,80.0,36,1,24,25
63,3/25/20,456,21,95.0,54,1,15,16
64,3/26/20,495,24,102.0,39,3,7,10
65,3/27/20,536,30,116.0,41,6,14,20
66,3/28/20,576,36,121.0,40,6,5,11
67,3/29/20,609,40,132.0,33,4,11,15
68,3/30/20,656,41,150.0,47,1,18,19
69,3/31/20,710,46,157.0,54,5,7,12
70,4/1/20,779,52,179.0,69,6,22,28
71,4/2/20,865,58,201.0,86,6,22,28
72,4/3/20,985,66,216.0,120,8,15,23
73,4/4/20,1070,71,241.0,85,5,25,30
74,4/5/20,1173,78,247.0,103,7,6,13
75,4/6/20,1322,85,259.0,149,7,12,19
76,4/7/20,1450,94,276.0,128,9,17,26
77,4/8/20,1560,103,305.0,110,9,29,38
78,4/9/20,1699,118,348.0,139,15,43,58
79,4/10/20,1794,135,384.0,95,17,36,53
