,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,1,0,0,1,0,0,0
37,2/28/20,1,0,0,0,0,0,0
38,2/29/20,1,0,0,0,0,0,0
39,3/1/20,1,0,0,0,0,0,0
40,3/2/20,1,0,0,0,0,0,0
41,3/3/20,2,0,0,1,0,0,0
42,3/4/20,2,0,0,0,0,0,0
43,3/5/20,3,0,0,1,0,0,0
44,3/6/20,10,0,0,7,0,0,0
45,3/7/20,10,0,0,0,0,0,0
46,3/8/20,10,0,0,0,0,0,0
47,3/9/20,10,0,0,0,0,0,0
48,3/10/20,12,0,0,2,0,0,0
49,3/11/20,16,0,0,4,0,0,0
50,3/12/20,16,0,0,0,0,0,0
51,3/13/20,79,0,0,63,0,0,0
52,3/14/20,115,0,0,36,0,0,0
53,3/15/20,171,0,1,56,0,1,1
54,3/16/20,205,0,1,34,0,0,0
55,3/17/20,225,0,1,20,0,0,0
56,3/18/20,258,0,1,33,0,0,0
57,3/19/20,267,0,1,9,0,0,0
58,3/20/20,283,0,1,16,0,0,0
59,3/21/20,306,0,1,23,0,0,0
60,3/22/20,326,0,2,20,0,1,1
61,3/23/20,352,0,2,26,0,0,0
62,3/24/20,369,0,7,17,0,5,5
63,3/25/20,404,1,8,35,1,1,2
64,3/26/20,538,1,8,134,0,0,0
65,3/27/20,575,1,11,37,0,3,3
66,3/28/20,645,1,20,70,0,9,9
67,3/29/20,679,3,20,34,2,0,2
68,3/30/20,715,3,20,36,0,0,0
69,3/31/20,745,4,26,30,1,6,7
70,4/1/20,779,5,33,34,1,7,8
71,4/2/20,858,11,45,79,6,12,18
72,4/3/20,961,12,48,103,1,3,4
73,4/4/20,1039,13,59,78,1,11,12
74,4/5/20,1097,15,62,58,2,3,5
75,4/6/20,1108,19,62,11,4,0,4
76,4/7/20,1149,21,69,41,2,7,9
77,4/8/20,1185,24,72,36,3,3,6
78,4/9/20,1207,24,83,22,0,11,11
79,4/10/20,1258,24,93,51,0,10,10
