,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0.0,0,0,0,0,0
1,1/23/20,0,0.0,0,0,0,0,0
2,1/24/20,0,0.0,0,0,0,0,0
3,1/25/20,0,0.0,0,0,0,0,0
4,1/26/20,0,0.0,0,0,0,0,0
5,1/27/20,0,0.0,0,0,0,0,0
6,1/28/20,0,0.0,0,0,0,0,0
7,1/29/20,1,0.0,0,1,0,0,0
8,1/30/20,1,0.0,0,0,0,0,0
9,1/31/20,1,0.0,0,0,0,0,0
10,2/1/20,1,0.0,0,0,0,0,0
11,2/2/20,1,0.0,0,0,0,0,0
12,2/3/20,1,0.0,0,0,0,0,0
13,2/4/20,1,0.0,0,0,0,0,0
14,2/5/20,1,0.0,0,0,0,0,0
15,2/6/20,1,0.0,0,0,0,0,0
16,2/7/20,1,0.0,0,0,0,0,0
17,2/8/20,1,0.0,0,0,0,0,0
18,2/9/20,1,0.0,0,0,0,0,0
19,2/10/20,1,0.0,0,0,0,0,0
20,2/11/20,1,0.0,0,0,0,0,0
21,2/12/20,1,0.0,1,0,0,1,1
22,2/13/20,1,0.0,1,0,0,0,0
23,2/14/20,1,0.0,1,0,0,0,0
24,2/15/20,1,0.0,1,0,0,0,0
25,2/16/20,1,0.0,1,0,0,0,0
26,2/17/20,1,0.0,1,0,0,0,0
27,2/18/20,1,0.0,1,0,0,0,0
28,2/19/20,1,0.0,1,0,0,0,0
29,2/20/20,1,0.0,1,0,0,0,0
30,2/21/20,1,0.0,1,0,0,0,0
31,2/22/20,1,0.0,1,0,0,0,0
32,2/23/20,1,0.0,1,0,0,0,0
33,2/24/20,1,0.0,1,0,0,0,0
34,2/25/20,1,0.0,1,0,0,0,0
35,2/26/20,2,0.0,1,1,0,0,0
36,2/27/20,2,0.0,1,0,0,0,0
37,2/28/20,2,0.0,1,0,0,0,0
38,2/29/20,3,0.0,1,1,0,0,0
39,3/1/20,6,0.0,1,3,0,0,0
40,3/2/20,6,0.0,1,0,0,0,0
41,3/3/20,6,0.0,1,0,0,0,0
42,3/4/20,6,0.0,1,0,0,0,0
43,3/5/20,12,0.0,1,6,0,0,0
44,3/6/20,15,0.0,1,3,0,0,0
45,3/7/20,15,0.0,1,0,0,0,0
46,3/8/20,23,0.0,1,8,0,0,0
47,3/9/20,30,0.0,1,7,0,0,0
48,3/10/20,40,0.0,1,10,0,0,0
49,3/11/20,59,0.0,1,19,0,0,0
50,3/12/20,59,0.0,1,0,0,0,0
51,3/13/20,155,0.0,1,96,0,0,0
52,3/14/20,225,0.0,1,70,0,0,0
53,3/15/20,244,0.0,10,19,0,9,9
54,3/16/20,277,0.0,10,33,0,0,0
55,3/17/20,321,0.0,10,44,0,0,0
56,3/18/20,336,0.0,10,15,0,0,0
57,3/19/20,400,0.0,10,64,0,0,0
58,3/20/20,450,0.0,10,50,0,0,0
59,3/21/20,523,1.0,10,73,1,0,1
60,3/22/20,626,1.0,10,103,0,0,0
61,3/23/20,700,1.0,10,74,0,0,0
62,3/24/20,792,1.0,10,92,0,0,0
63,3/25/20,880,3.0,10,88,2,0,2
64,3/26/20,958,5.0,10,78,2,0,2
65,3/27/20,1041,7.0,10,83,2,0,2
66,3/28/20,1167,9.0,10,126,2,0,2
67,3/29/20,1240,11.0,10,73,2,0,2
68,3/30/20,1352,13.0,10,112,2,0,2
69,3/31/20,1418,17.0,10,66,4,0,4
70,4/1/20,1446,17.0,10,28,0,0,0
71,4/2/20,1518,19.0,300,72,2,290,292
72,4/3/20,1615,20.0,300,97,1,0,1
73,4/4/20,1882,25.0,300,267,5,0,5
74,4/5/20,1927,28.0,300,45,3,0,3
75,4/6/20,2176,,300,249,0,0,-1
76,4/7/20,2308,34.0,300,132,0,0,7
77,4/8/20,2487,40.0,300,179,6,0,6
78,4/9/20,2605,42.0,300,118,2,0,2
79,4/10/20,2769,48.0,300,164,6,0,6
