,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,2,0,0,2,0,0,0
3,1/25/20,3,0,0,1,0,0,0
4,1/26/20,3,0,0,0,0,0,0
5,1/27/20,3,0,0,0,0,0,0
6,1/28/20,4,0,0,1,0,0,0
7,1/29/20,5,0,0,1,0,0,0
8,1/30/20,5,0,0,0,0,0,0
9,1/31/20,5,0,0,0,0,0,0
10,2/1/20,6,0,0,1,0,0,0
11,2/2/20,6,0,0,0,0,0,0
12,2/3/20,6,0,0,0,0,0,0
13,2/4/20,6,0,0,0,0,0,0
14,2/5/20,6,0,0,0,0,0,0
15,2/6/20,6,0,0,0,0,0,0
16,2/7/20,6,0,0,0,0,0,0
17,2/8/20,11,0,0,5,0,0,0
18,2/9/20,11,0,0,0,0,0,0
19,2/10/20,11,0,0,0,0,0,0
20,2/11/20,11,0,0,0,0,0,0
21,2/12/20,11,0,2,0,0,2,2
22,2/13/20,11,0,2,0,0,0,0
23,2/14/20,11,0,2,0,0,0,0
24,2/15/20,12,1,4,1,1,2,3
25,2/16/20,12,1,4,0,0,0,0
26,2/17/20,12,1,4,0,0,0,0
27,2/18/20,12,1,4,0,0,0,0
28,2/19/20,12,1,4,0,0,0,0
29,2/20/20,12,1,4,0,0,0,0
30,2/21/20,12,1,4,0,0,0,0
31,2/22/20,12,1,4,0,0,0,0
32,2/23/20,12,1,4,0,0,0,0
33,2/24/20,12,1,4,0,0,0,0
34,2/25/20,14,1,11,2,0,7,7
35,2/26/20,18,2,11,4,1,0,1
36,2/27/20,38,2,11,20,0,0,0
37,2/28/20,57,2,11,19,0,0,0
38,2/29/20,100,2,12,43,0,1,1
39,3/1/20,130,2,12,30,0,0,0
40,3/2/20,191,3,12,61,1,0,1
41,3/3/20,204,4,12,13,1,0,1
42,3/4/20,285,4,12,81,0,0,0
43,3/5/20,377,6,12,92,2,0,2
44,3/6/20,653,9,12,276,3,0,3
45,3/7/20,949,11,12,296,2,0,2
46,3/8/20,1126,19,12,177,8,0,8
47,3/9/20,1209,19,12,83,0,0,0
48,3/10/20,1784,33,12,575,14,0,14
49,3/11/20,2281,48,12,497,15,0,15
50,3/12/20,2281,48,12,0,0,0,0
51,3/13/20,3661,79,12,1380,31,0,31
52,3/14/20,4469,91,12,808,12,0,12
53,3/15/20,4499,91,12,30,0,0,0
54,3/16/20,6633,148,12,2134,57,0,57
55,3/17/20,7652,148,12,1019,0,0,0
56,3/18/20,9043,148,12,1391,0,0,0
57,3/19/20,10871,243,12,1828,95,0,95
58,3/20/20,12612,450,12,1741,207,0,207
59,3/21/20,14282,562,12,1670,112,0,112
60,3/22/20,16018,674,2200,1736,112,2188,2300
61,3/23/20,19856,860,2200,3838,186,0,186
62,3/24/20,22304,1100,3243,2448,240,1043,1283
63,3/25/20,25233,1331,3900,2929,231,657,888
64,3/26/20,29155,1696,4948,3922,365,1048,1413
65,3/27/20,32964,1995,5700,3809,299,752,1051
66,3/28/20,37575,2314,5700,4611,319,0,319
67,3/29/20,40174,2606,7202,2599,292,1502,1794
68,3/30/20,44550,3024,7927,4376,418,725,1143
69,3/31/20,52128,3523,9444,7578,499,1517,2016
70,4/1/20,56989,4032,10934,4861,509,1490,1999
71,4/2/20,59105,5387,12428,2116,1355,1494,2849
72,4/3/20,64338,6507,14008,5233,1120,1580,2700
73,4/4/20,89953,7560,15438,25615,1053,1430,2483
74,4/5/20,92839,8078,16183,2886,518,745,1263
75,4/6/20,98010,8911,17250,5171,833,1067,1900
76,4/7/20,109069,10328,19337,11059,1417,2087,3504
77,4/8/20,112950,10869,21254,3881,541,1917,2458
