dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/16/20,3,0,0,,,,
03/17/20,5,0,0,2.0,0.0,0.0,0.0
03/18/20,8,0,0,3.0,0.0,0.0,0.0
03/19/20,12,0,0,4.0,0.0,0.0,0.0
03/20/20,14,0,0,2.0,0.0,0.0,0.0
03/21/20,15,0,0,1.0,0.0,0.0,0.0
03/22/20,27,1,0,12.0,1.0,0.0,1.0
03/23/20,29,1,0,2.0,0.0,0.0,0.0
03/24/20,32,1,0,3.0,0.0,0.0,0.0
03/25/20,37,1,0,5.0,0.0,0.0,0.0
03/26/20,45,1,0,8.0,0.0,0.0,0.0
03/27/20,51,1,0,6.0,0.0,0.0,0.0
03/28/20,55,1,7,4.0,0.0,7.0,7.0
03/29/20,56,1,7,1.0,0.0,0.0,0.0
03/30/20,58,1,7,2.0,0.0,0.0,0.0
03/31/20,69,2,7,11.0,1.0,0.0,1.0
04/01/20,77,3,9,8.0,1.0,2.0,3.0
04/02/20,82,3,12,5.0,0.0,3.0,3.0
04/03/20,84,4,14,2.0,1.0,2.0,3.0
04/04/20,93,4,20,9.0,0.0,6.0,6.0
04/05/20,112,4,23,19.0,0.0,3.0,3.0
04/06/20,113,4,25,1.0,0.0,2.0,2.0
04/07/20,121,4,27,8.0,0.0,2.0,2.0
04/08/20,125,4,31,4.0,0.0,4.0,4.0
