,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,1,0,0,1,0,0,0
36,2/27/20,1,0,0,0,0,0,0
37,2/28/20,1,0,0,0,0,0,0
38,2/29/20,1,0,0,0,0,0,0
39,3/1/20,3,0,0,2,0,0,0
40,3/2/20,3,0,0,0,0,0,0
41,3/3/20,3,0,0,0,0,0,0
42,3/4/20,3,0,0,0,0,0,0
43,3/5/20,4,0,0,1,0,0,0
44,3/6/20,4,0,0,0,0,0,0
45,3/7/20,4,0,0,0,0,0,0
46,3/8/20,13,0,0,9,0,0,0
47,3/9/20,15,0,0,2,0,0,0
48,3/10/20,15,0,0,0,0,0,0
49,3/11/20,24,0,0,9,0,0,0
50,3/12/20,24,0,0,0,0,0,0
51,3/13/20,25,0,0,1,0,0,0
52,3/14/20,30,0,0,5,0,0,0
53,3/15/20,33,0,0,3,0,0,0
54,3/16/20,33,0,1,0,0,1,1
55,3/17/20,34,0,1,1,0,0,0
56,3/18/20,38,0,1,4,0,0,0
57,3/19/20,40,0,1,2,0,0,0
58,3/20/20,43,0,1,3,0,0,0
59,3/21/20,49,0,1,6,0,0,0
60,3/22/20,54,0,3,5,0,2,2
61,3/23/20,61,0,3,7,0,0,0
62,3/24/20,70,0,9,9,0,6,6
63,3/25/20,75,0,10,5,0,1,1
64,3/26/20,79,0,11,4,0,1,1
65,3/27/20,83,0,14,4,0,3,3
66,3/28/20,90,0,14,7,0,0,0
67,3/29/20,91,0,18,1,0,4,4
68,3/30/20,103,0,20,12,0,2,2
69,3/31/20,110,0,21,7,0,1,1
70,4/1/20,117,0,23,7,0,2,2
71,4/2/20,134,0,26,17,0,3,3
72,4/3/20,155,0,28,21,0,2,2
73,4/4/20,162,1,36,7,1,8,9
74,4/5/20,174,2,36,12,1,0,1
75,4/6/20,188,2,39,14,0,3,3
76,4/7/20,196,3,46,8,1,7,8
77,4/8/20,211,3,50,15,0,4,4
78,4/9/20,218,3,51,7,0,1,1
79,4/10/20,234,3,54,16,0,3,3
