,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,1,0,0,1,0,0,0
6,1/28/20,4,0,0,3,0,0,0
7,1/29/20,4,0,0,0,0,0,0
8,1/30/20,4,0,0,0,0,0,0
9,1/31/20,5,0,0,1,0,0,0
10,2/1/20,8,0,0,3,0,0,0
11,2/2/20,10,0,0,2,0,0,0
12,2/3/20,12,0,0,2,0,0,0
13,2/4/20,12,0,0,0,0,0,0
14,2/5/20,12,0,0,0,0,0,0
15,2/6/20,12,0,0,0,0,0,0
16,2/7/20,13,0,0,1,0,0,0
17,2/8/20,13,0,0,0,0,0,0
18,2/9/20,14,0,0,1,0,0,0
19,2/10/20,14,0,0,0,0,0,0
20,2/11/20,16,0,0,2,0,0,0
21,2/12/20,16,0,0,0,0,0,0
22,2/13/20,16,0,1,0,0,1,1
23,2/14/20,16,0,1,0,0,0,0
24,2/15/20,16,0,1,0,0,0,0
25,2/16/20,16,0,1,0,0,0,0
26,2/17/20,16,0,1,0,0,0,0
27,2/18/20,16,0,12,0,0,11,11
28,2/19/20,16,0,12,0,0,0,0
29,2/20/20,16,0,12,0,0,0,0
30,2/21/20,16,0,14,0,0,2,2
31,2/22/20,16,0,14,0,0,0,0
32,2/23/20,16,0,14,0,0,0,0
33,2/24/20,16,0,14,0,0,0,0
34,2/25/20,17,0,14,1,0,0,0
35,2/26/20,27,0,15,10,0,1,1
36,2/27/20,46,0,16,19,0,1,1
37,2/28/20,48,0,16,2,0,0,0
38,2/29/20,79,0,16,31,0,0,0
39,3/1/20,130,0,16,51,0,0,0
40,3/2/20,159,0,16,29,0,0,0
41,3/3/20,196,0,16,37,0,0,0
42,3/4/20,262,0,16,66,0,0,0
43,3/5/20,482,0,16,220,0,0,0
44,3/6/20,670,0,17,188,0,1,1
45,3/7/20,799,0,18,129,0,1,1
46,3/8/20,1040,0,18,241,0,0,0
47,3/9/20,1176,2,18,136,2,0,2
48,3/10/20,1457,2,18,281,0,0,0
49,3/11/20,1908,3,25,451,1,7,8
50,3/12/20,2078,3,25,170,0,0,0
51,3/13/20,3675,7,46,1597,4,21,25
52,3/14/20,4585,9,46,910,2,0,2
53,3/15/20,5795,11,46,1210,2,0,2
54,3/16/20,7272,17,67,1477,6,21,27
55,3/17/20,9257,24,67,1985,7,0,7
56,3/18/20,12327,28,105,3070,4,38,42
57,3/19/20,15320,44,113,2993,16,8,24
58,3/20/20,19848,67,180,4528,23,67,90
59,3/21/20,22213,84,233,2365,17,53,70
60,3/22/20,24873,94,266,2660,10,33,43
61,3/23/20,29056,123,266,4183,29,0,29
62,3/24/20,32986,157,3243,3930,34,2977,3011
63,3/25/20,37323,206,3547,4337,49,304,353
64,3/26/20,43938,267,5673,6615,61,2126,2187
65,3/27/20,50871,342,6658,6933,75,985,1060
66,3/28/20,57695,433,8481,6824,91,1823,1914
67,3/29/20,62095,533,9211,4400,100,730,830
68,3/30/20,66885,645,13500,4790,112,4289,4401
69,3/31/20,71808,775,16100,4923,130,2600,2730
70,4/1/20,77872,920,18700,6064,145,2600,2745
71,4/2/20,84794,1107,22440,6922,187,3740,3927
72,4/3/20,91159,1275,24575,6365,168,2135,2303
73,4/4/20,96092,1444,26400,4933,169,1825,1994
74,4/5/20,100123,1584,28700,4031,140,2300,2440
75,4/6/20,103374,1810,28700,3251,226,0,226
76,4/7/20,107663,2016,36081,4289,206,7381,7587
77,4/8/20,113296,2349,46300,5633,333,10219,10552
78,4/9/20,118181,2607,52407,4885,258,6107,6365
79,4/10/20,122171,2767,53913,3990,160,1506,1666
