,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,1,0,0,1,0,0,0
36,2/27/20,3,0,0,2,0,0,0
37,2/28/20,4,0,0,1,0,0,0
38,2/29/20,4,0,0,0,0,0,0
39,3/1/20,7,0,0,3,0,0,0
40,3/2/20,7,0,0,0,0,0,0
41,3/3/20,7,0,0,0,0,0,0
42,3/4/20,9,0,0,2,0,0,0
43,3/5/20,31,0,0,22,0,0,0
44,3/6/20,45,0,0,14,0,0,0
45,3/7/20,46,0,0,1,0,0,0
46,3/8/20,73,0,0,27,0,0,0
47,3/9/20,73,0,0,0,0,0,0
48,3/10/20,89,0,0,16,0,0,0
49,3/11/20,99,1,0,10,1,0,1
50,3/12/20,99,1,0,0,0,0,0
51,3/13/20,190,1,0,91,0,0,0
52,3/14/20,228,3,8,38,2,8,10
53,3/15/20,331,4,8,103,1,0,1
54,3/16/20,331,4,8,0,0,0,0
55,3/17/20,387,5,8,56,1,0,1
56,3/18/20,418,5,8,31,0,0,0
57,3/19/20,418,6,8,0,1,0,1
58,3/20/20,495,6,19,77,0,11,11
59,3/21/20,530,13,19,35,7,0,7
60,3/22/20,624,15,19,94,2,0,2
61,3/23/20,695,17,19,71,2,0,2
62,3/24/20,743,20,29,48,3,10,13
63,3/25/20,821,22,36,78,2,7,9
64,3/26/20,892,26,36,71,4,0,4
65,3/27/20,966,28,52,74,2,16,18
66,3/28/20,1061,32,52,95,4,0,4
67,3/29/20,1156,38,52,95,6,0,6
68,3/30/20,1212,43,52,56,5,0,5
69,3/31/20,1314,49,52,102,6,0,6
70,4/1/20,1415,50,52,101,1,0,1
71,4/2/20,1544,53,61,129,3,9,12
72,4/3/20,1613,63,78,69,10,17,27
73,4/4/20,1673,68,78,60,5,0,5
74,4/5/20,1735,73,78,62,5,0,5
75,4/6/20,1755,79,269,20,6,191,197
76,4/7/20,1832,81,269,77,2,0,2
77,4/8/20,1884,83,269,52,2,0,2
78,4/9/20,1955,87,269,71,4,0,4
79,4/10/20,2011,92,269,56,5,0,5
