,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0.0,0.0,0,0,0,0
1,1/23/20,0,0.0,0.0,0,0,0,0
2,1/24/20,0,0.0,0.0,0,0,0,0
3,1/25/20,0,0.0,0.0,0,0,0,0
4,1/26/20,0,0.0,0.0,0,0,0,0
5,1/27/20,0,0.0,0.0,0,0,0,0
6,1/28/20,0,0.0,0.0,0,0,0,0
7,1/29/20,0,0.0,0.0,0,0,0,0
8,1/30/20,0,0.0,0.0,0,0,0,0
9,1/31/20,0,0.0,0.0,0,0,0,0
10,2/1/20,0,0.0,0.0,0,0,0,0
11,2/2/20,0,0.0,0.0,0,0,0,0
12,2/3/20,0,0.0,0.0,0,0,0,0
13,2/4/20,0,0.0,0.0,0,0,0,0
14,2/5/20,0,0.0,0.0,0,0,0,0
15,2/6/20,0,0.0,0.0,0,0,0,0
16,2/7/20,0,0.0,0.0,0,0,0,0
17,2/8/20,0,0.0,0.0,0,0,0,0
18,2/9/20,0,0.0,0.0,0,0,0,0
19,2/10/20,0,0.0,0.0,0,0,0,0
20,2/11/20,0,0.0,0.0,0,0,0,0
21,2/12/20,0,0.0,0.0,0,0,0,0
22,2/13/20,0,0.0,0.0,0,0,0,0
23,2/14/20,0,0.0,0.0,0,0,0,0
24,2/15/20,0,0.0,0.0,0,0,0,0
25,2/16/20,0,0.0,0.0,0,0,0,0
26,2/17/20,0,0.0,0.0,0,0,0,0
27,2/18/20,0,0.0,0.0,0,0,0,0
28,2/19/20,0,0.0,0.0,0,0,0,0
29,2/20/20,0,0.0,0.0,0,0,0,0
30,2/21/20,0,0.0,0.0,0,0,0,0
31,2/22/20,0,0.0,0.0,0,0,0,0
32,2/23/20,0,0.0,0.0,0,0,0,0
33,2/24/20,0,0.0,0.0,0,0,0,0
34,2/25/20,0,0.0,0.0,0,0,0,0
35,2/26/20,0,0.0,0.0,0,0,0,0
36,2/27/20,0,0.0,0.0,0,0,0,0
37,2/28/20,1,0.0,0.0,1,0,0,0
38,2/29/20,1,0.0,0.0,0,0,0,0
39,3/1/20,3,0.0,0.0,2,0,0,0
40,3/2/20,6,0.0,0.0,3,0,0,0
41,3/3/20,11,0.0,0.0,5,0,0,0
42,3/4/20,26,0.0,0.0,15,0,0,0
43,3/5/20,34,0.0,0.0,8,0,0,0
44,3/6/20,43,0.0,0.0,9,0,0,0
45,3/7/20,50,0.0,0.0,7,0,0,0
46,3/8/20,50,0.0,0.0,0,0,0,0
47,3/9/20,58,0.0,0.0,8,0,0,0
48,3/10/20,69,0.0,1.0,11,0,1,1
49,3/11/20,85,0.0,1.0,16,0,0,0
50,3/12/20,103,0.0,1.0,18,0,0,0
51,3/13/20,134,0.0,1.0,31,0,0,0
52,3/14/20,156,0.0,1.0,22,0,0,0
53,3/15/20,171,5.0,8.0,15,5,7,12
54,3/16/20,180,,,9,0,0,-13
55,3/17/20,220,5.0,,40,0,0,1
56,3/18/20,250,5.0,8.0,30,0,0,5
57,3/19/20,330,5.0,8.0,80,0,0,0
58,3/20/20,409,,8.0,79,0,0,-1
59,3/21/20,473,5.0,22.0,64,0,14,18
60,3/22/20,568,5.0,36.0,95,0,14,14
61,3/23/20,588,5.0,36.0,20,0,0,0
62,3/24/20,648,5.0,51.0,60,0,15,16
63,3/25/20,737,5.0,56.0,89,0,5,5
64,3/26/20,802,5.0,82.0,65,0,26,26
65,3/27/20,890,5.0,97.0,88,0,15,15
66,3/28/20,963,5.0,114.0,73,0,17,17
67,3/29/20,1020,5.0,135.0,57,0,21,21
68,3/30/20,1086,5.0,157.0,66,0,22,22
69,3/31/20,1135,5.0,198.0,49,0,41,41
70,4/1/20,1220,5.0,225.0,85,0,27,27
71,4/2/20,1319,5.0,284.0,99,0,59,61
72,4/3/20,1364,5.0,309.0,45,0,25,25
73,4/4/20,1417,5.0,396.0,53,0,87,87
74,4/5/20,1486,5.0,428.0,69,0,32,32
75,4/6/20,1562,6.0,460.0,76,1,32,34
76,4/7/20,1586,6.0,559.0,24,0,99,99
77,4/8/20,1616,6.0,633.0,30,0,74,74
78,4/9/20,1648,6.0,688.0,32,0,55,55
79,4/10/20,1675,7.0,751.0,27,1,63,64
