,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0.0,0,0,0,0,0
1,1/23/20,0,0.0,0,0,0,0,0
2,1/24/20,0,0.0,0,0,0,0,0
3,1/25/20,0,0.0,0,0,0,0,0
4,1/26/20,0,0.0,0,0,0,0,0
5,1/27/20,0,0.0,0,0,0,0,0
6,1/28/20,0,0.0,0,0,0,0,0
7,1/29/20,0,0.0,0,0,0,0,0
8,1/30/20,1,0.0,0,1,0,0,0
9,1/31/20,1,0.0,0,0,0,0,0
10,2/1/20,1,0.0,0,0,0,0,0
11,2/2/20,2,0.0,0,1,0,0,0
12,2/3/20,3,0.0,0,1,0,0,0
13,2/4/20,3,0.0,0,0,0,0,0
14,2/5/20,3,0.0,0,0,0,0,0
15,2/6/20,3,0.0,0,0,0,0,0
16,2/7/20,3,0.0,0,0,0,0,0
17,2/8/20,3,0.0,0,0,0,0,0
18,2/9/20,3,0.0,0,0,0,0,0
19,2/10/20,3,0.0,0,0,0,0,0
20,2/11/20,3,0.0,0,0,0,0,0
21,2/12/20,3,0.0,0,0,0,0,0
22,2/13/20,3,0.0,0,0,0,0,0
23,2/14/20,3,0.0,0,0,0,0,0
24,2/15/20,3,0.0,0,0,0,0,0
25,2/16/20,3,0.0,3,0,0,3,3
26,2/17/20,3,0.0,3,0,0,0,0
27,2/18/20,3,0.0,3,0,0,0,0
28,2/19/20,3,0.0,3,0,0,0,0
29,2/20/20,3,0.0,3,0,0,0,0
30,2/21/20,3,0.0,3,0,0,0,0
31,2/22/20,3,0.0,3,0,0,0,0
32,2/23/20,3,0.0,3,0,0,0,0
33,2/24/20,3,0.0,3,0,0,0,0
34,2/25/20,3,0.0,3,0,0,0,0
35,2/26/20,3,0.0,3,0,0,0,0
36,2/27/20,3,0.0,3,0,0,0,0
37,2/28/20,3,0.0,3,0,0,0,0
38,2/29/20,3,0.0,3,0,0,0,0
39,3/1/20,3,0.0,3,0,0,0,0
40,3/2/20,5,0.0,3,2,0,0,0
41,3/3/20,5,0.0,3,0,0,0,0
42,3/4/20,28,0.0,3,23,0,0,0
43,3/5/20,30,0.0,3,2,0,0,0
44,3/6/20,31,0.0,3,1,0,0,0
45,3/7/20,34,0.0,3,3,0,0,0
46,3/8/20,39,0.0,3,5,0,0,0
47,3/9/20,43,0.0,3,4,0,0,0
48,3/10/20,56,0.0,4,13,0,1,1
49,3/11/20,62,1.0,4,6,1,0,1
50,3/12/20,73,1.0,4,11,0,0,0
51,3/13/20,82,2.0,4,9,1,0,1
52,3/14/20,102,2.0,4,20,0,0,0
53,3/15/20,113,2.0,13,11,0,9,9
54,3/16/20,119,2.0,13,6,0,0,0
55,3/17/20,142,3.0,14,23,1,1,2
56,3/18/20,156,3.0,14,14,0,0,0
57,3/19/20,194,4.0,15,38,1,1,2
58,3/20/20,244,5.0,20,50,1,5,6
59,3/21/20,330,,23,86,0,3,2
60,3/22/20,396,7.0,27,66,0,4,7
61,3/23/20,499,10.0,27,103,3,0,3
62,3/24/20,536,10.0,40,37,0,13,13
63,3/25/20,657,12.0,43,121,2,3,5
64,3/26/20,727,20.0,45,70,8,2,10
65,3/27/20,887,20.0,73,160,0,28,28
66,3/28/20,987,24.0,84,100,4,11,15
67,3/29/20,1024,27.0,95,37,3,11,14
68,3/30/20,1251,32.0,102,227,5,7,12
69,3/31/20,1397,35.0,123,146,3,21,24
70,4/1/20,1998,58.0,148,601,23,25,48
71,4/2/20,2543,72.0,191,545,14,43,57
72,4/3/20,2567,72.0,192,24,0,1,1
73,4/4/20,3082,86.0,229,515,14,37,51
74,4/5/20,3588,99.0,229,506,13,0,13
75,4/6/20,4778,136.0,375,1190,37,146,183
76,4/7/20,5311,150.0,421,533,14,46,60
77,4/8/20,5916,178.0,506,605,28,85,113
78,4/9/20,6725,226.0,620,809,48,114,162
79,4/10/20,7598,246.0,774,873,20,154,174
