,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,2,0,0,2,0,0,0
41,3/3/20,2,0,0,0,0,0,0
42,3/4/20,2,0,0,0,0,0,0
43,3/5/20,2,0,0,0,0,0,0
44,3/6/20,4,0,0,2,0,0,0
45,3/7/20,4,0,0,0,0,0,0
46,3/8/20,6,0,0,2,0,0,0
47,3/9/20,19,0,0,13,0,0,0
48,3/10/20,27,0,2,8,0,2,2
49,3/11/20,34,1,2,7,1,0,1
50,3/12/20,34,1,2,0,0,0,0
51,3/13/20,69,4,2,35,3,0,3
52,3/14/20,96,5,8,27,1,6,7
53,3/15/20,117,5,8,21,0,0,0
54,3/16/20,134,5,8,17,0,0,0
55,3/17/20,172,5,8,38,0,0,0
56,3/18/20,227,19,11,55,14,3,17
57,3/19/20,311,25,11,84,6,0,6
58,3/20/20,369,32,15,58,7,4,11
59,3/21/20,450,38,15,81,6,0,6
60,3/22/20,514,48,29,64,10,14,24
61,3/23/20,579,49,29,65,1,0,1
62,3/24/20,686,55,30,107,6,1,7
63,3/25/20,790,58,31,104,3,1,4
64,3/26/20,893,78,35,103,20,4,24
65,3/27/20,1046,87,46,153,9,11,20
66,3/28/20,1155,102,59,109,15,13,28
67,3/29/20,1285,114,64,130,12,5,17
68,3/30/20,1414,122,75,129,8,11,19
69,3/31/20,1528,136,81,114,14,6,20
70,4/1/20,1677,157,103,149,21,22,43
71,4/2/20,1790,170,112,113,13,9,22
72,4/3/20,1986,181,134,196,11,22,33
73,4/4/20,2092,191,150,106,10,16,26
74,4/5/20,2273,198,164,181,7,14,21
75,4/6/20,2491,209,192,218,11,28,39
76,4/7/20,2738,221,204,247,12,12,24
77,4/8/20,2956,240,222,218,19,18,37
78,4/9/20,3293,280,252,337,40,30,70
79,4/10/20,3512,306,282,219,26,30,56
