,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,2,2,0,2,2,0,2
29,2/20/20,5,2,0,3,0,0,0
30,2/21/20,18,4,0,13,2,0,2
31,2/22/20,28,5,0,10,1,0,1
32,2/23/20,43,8,0,15,3,0,3
33,2/24/20,61,12,0,18,4,0,4
34,2/25/20,95,16,0,34,4,0,4
35,2/26/20,139,19,49,44,3,49,52
36,2/27/20,245,26,49,106,7,0,7
37,2/28/20,388,34,73,143,8,24,32
38,2/29/20,593,43,123,205,9,50,59
39,3/1/20,978,54,175,385,11,52,63
40,3/2/20,1501,66,291,523,12,116,128
41,3/3/20,2336,77,291,835,11,0,11
42,3/4/20,2922,92,552,586,15,261,276
43,3/5/20,3513,107,739,591,15,187,202
44,3/6/20,4747,124,913,1234,17,174,191
45,3/7/20,5823,145,1669,1076,21,756,777
46,3/8/20,6566,194,2134,743,49,465,514
47,3/9/20,7161,237,2394,595,43,260,303
48,3/10/20,8042,291,2731,881,54,337,391
49,3/11/20,9000,354,2959,958,63,228,291
50,3/12/20,10075,429,2959,1075,75,0,75
51,3/13/20,11364,514,2959,1289,85,0,85
52,3/14/20,12729,611,2959,1365,97,0,97
53,3/15/20,13938,724,4590,1209,113,1631,1744
54,3/16/20,14991,853,4590,1053,129,0,129
55,3/17/20,16169,988,5389,1178,135,799,934
56,3/18/20,17361,1135,5389,1192,147,0,147
57,3/19/20,18407,1284,5710,1046,149,321,470
58,3/20/20,19644,1433,6745,1237,149,1035,1184
59,3/21/20,20610,1556,7635,966,123,890,1013
60,3/22/20,21638,1685,7931,1028,129,296,425
61,3/23/20,23049,1812,7931,1411,127,0,127
62,3/24/20,24811,1934,8913,1762,122,982,1104
63,3/25/20,27017,2077,9625,2206,143,712,855
64,3/26/20,29406,2234,10457,2389,157,832,989
65,3/27/20,32332,2378,11133,2926,144,676,820
66,3/28/20,35408,2517,11679,3076,139,546,685
67,3/29/20,38309,2640,12391,2901,123,712,835
68,3/30/20,41495,2757,13911,3186,117,1520,1637
69,3/31/20,44605,2898,14656,3110,141,745,886
70,4/1/20,47593,3036,15473,2988,138,817,955
71,4/2/20,50468,3160,16711,2875,124,1238,1362
72,4/3/20,53183,3294,17935,2715,134,1224,1358
73,4/4/20,55743,3452,19736,2560,158,1801,1959
74,4/5/20,58226,3603,19736,2483,151,0,151
75,4/6/20,60500,3739,24236,2274,136,4500,4636
76,4/7/20,62589,3872,27039,2089,133,2803,2936
77,4/8/20,64586,3993,29812,1997,121,2773,2894
