,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,1,0,0,1,0,0,0
39,3/1/20,1,0,0,0,0,0,0
40,3/2/20,1,0,0,0,0,0,0
41,3/3/20,2,0,0,1,0,0,0
42,3/4/20,6,0,0,4,0,0,0
43,3/5/20,6,0,0,0,0,0,0
44,3/6/20,18,0,0,12,0,0,0
45,3/7/20,18,0,0,0,0,0,0
46,3/8/20,19,0,0,1,0,0,0
47,3/9/20,21,0,0,2,0,0,0
48,3/10/20,34,0,0,13,0,0,0
49,3/11/20,43,1,0,9,1,0,1
50,3/12/20,43,1,0,0,0,0,0
51,3/13/20,90,1,0,47,0,0,0
52,3/14/20,129,2,0,39,1,0,1
53,3/15/20,129,2,0,0,0,0,0
54,3/16/20,169,2,0,40,0,0,0
55,3/17/20,223,2,5,54,0,5,5
56,3/18/20,292,2,5,69,0,0,0
57,3/19/20,557,3,5,265,1,0,1
58,3/20/20,683,3,5,126,0,0,0
59,3/21/20,785,3,5,102,0,0,0
60,3/22/20,906,4,5,121,1,0,1
61,3/23/20,1125,6,5,219,2,0,2
62,3/24/20,1329,7,5,204,1,0,1
63,3/25/20,1564,9,5,235,2,0,2
64,3/26/20,1819,19,5,255,10,0,10
65,3/27/20,2121,22,5,302,3,0,3
66,3/28/20,2415,36,5,294,14,0,14
67,3/29/20,2615,46,5,200,10,0,10
68,3/30/20,2910,54,5,295,8,0,8
69,3/31/20,3235,71,5,325,17,0,17
70,4/1/20,3447,85,5,212,14,0,14
71,4/2/20,3849,98,5,402,13,0,13
72,4/3/20,4273,120,5,424,22,0,22
73,4/4/20,4604,137,25,331,17,20,37
74,4/5/20,4994,158,25,390,21,0,21
75,4/6/20,5364,174,25,370,16,0,16
76,4/7/20,5709,210,25,345,36,0,36
77,4/8/20,6074,235,25,365,25,0,25
78,4/9/20,6574,263,25,500,28,0,28
79,4/10/20,8089,287,25,1515,24,0,24
