,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,1,0,0,1,0,0,0
31,2/22/20,1,0,0,0,0,0,0
32,2/23/20,1,0,0,0,0,0,0
33,2/24/20,1,0,0,0,0,0,0
34,2/25/20,1,0,0,0,0,0,0
35,2/26/20,2,0,0,1,0,0,0
36,2/27/20,3,0,1,1,0,1,1
37,2/28/20,4,0,1,1,0,0,0
38,2/29/20,7,0,1,3,0,0,0
39,3/1/20,10,0,1,3,0,0,0
40,3/2/20,10,0,1,0,0,0,0
41,3/3/20,12,0,1,2,0,0,0
42,3/4/20,15,0,1,3,0,0,0
43,3/5/20,20,0,1,5,0,0,0
44,3/6/20,37,0,2,17,0,1,1
45,3/7/20,43,0,2,6,0,0,0
46,3/8/20,61,0,2,18,0,0,0
47,3/9/20,61,0,2,0,0,0,0
48,3/10/20,75,0,4,14,0,2,2
49,3/11/20,79,0,4,4,0,0,0
50,3/12/20,100,0,4,21,0,0,0
51,3/13/20,126,0,4,26,0,0,0
52,3/14/20,155,0,4,29,0,0,0
53,3/15/20,213,0,4,58,0,0,0
54,3/16/20,218,0,4,5,0,0,0
55,3/17/20,250,0,11,32,0,7,7
56,3/18/20,304,0,11,54,0,0,0
57,3/19/20,427,0,11,123,0,0,0
58,3/20/20,529,0,14,102,0,3,3
59,3/21/20,712,1,36,183,1,22,23
60,3/22/20,883,1,37,171,0,1,1
61,3/23/20,1071,1,37,188,0,0,0
62,3/24/20,1238,3,53,167,2,16,18
63,3/25/20,2369,5,58,1131,2,5,7
64,3/26/20,2693,8,68,324,3,10,13
65,3/27/20,3035,12,79,342,4,11,15
66,3/28/20,3619,12,89,584,0,10,10
67,3/29/20,4247,15,132,628,3,43,46
68,3/30/20,4695,16,161,448,1,29,30
69,3/31/20,5358,20,224,663,4,63,67
70,4/1/20,6092,26,241,734,6,17,23
71,4/2/20,6857,36,338,765,10,97,107
72,4/3/20,7428,40,403,571,4,65,69
73,4/4/20,7851,44,427,423,4,24,28
74,4/5/20,8430,49,477,579,5,50,55
75,4/6/20,8904,57,585,474,8,108,116
76,4/7/20,9248,65,770,344,8,185,193
77,4/8/20,9404,73,801,156,8,31,39
78,4/9/20,9968,86,1011,564,13,210,223
79,4/10/20,10408,95,1183,440,9,172,181
