,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0.0,0,0,0,0
1,1/23/20,0,0,0.0,0,0,0,0
2,1/24/20,0,0,0.0,0,0,0,0
3,1/25/20,0,0,0.0,0,0,0,0
4,1/26/20,0,0,0.0,0,0,0,0
5,1/27/20,0,0,0.0,0,0,0,0
6,1/28/20,0,0,0.0,0,0,0,0
7,1/29/20,0,0,0.0,0,0,0,0
8,1/30/20,0,0,0.0,0,0,0,0
9,1/31/20,2,0,0.0,2,0,0,0
10,2/1/20,2,0,0.0,0,0,0,0
11,2/2/20,2,0,0.0,0,0,0,0
12,2/3/20,2,0,0.0,0,0,0,0
13,2/4/20,2,0,0.0,0,0,0,0
14,2/5/20,2,0,0.0,0,0,0,0
15,2/6/20,2,0,0.0,0,0,0,0
16,2/7/20,3,0,0.0,1,0,0,0
17,2/8/20,3,0,0.0,0,0,0,0
18,2/9/20,3,0,0.0,0,0,0,0
19,2/10/20,3,0,0.0,0,0,0,0
20,2/11/20,3,0,0.0,0,0,0,0
21,2/12/20,3,0,0.0,0,0,0,0
22,2/13/20,3,0,0.0,0,0,0,0
23,2/14/20,3,0,0.0,0,0,0,0
24,2/15/20,3,0,0.0,0,0,0,0
25,2/16/20,3,0,0.0,0,0,0,0
26,2/17/20,3,0,0.0,0,0,0,0
27,2/18/20,3,0,0.0,0,0,0,0
28,2/19/20,3,0,0.0,0,0,0,0
29,2/20/20,3,0,0.0,0,0,0,0
30,2/21/20,20,1,0.0,17,1,0,1
31,2/22/20,62,2,1.0,42,1,1,2
32,2/23/20,155,3,2.0,93,1,1,2
33,2/24/20,229,7,,74,4,0,3
34,2/25/20,322,10,2.0,93,3,0,3
35,2/26/20,453,12,3.0,131,2,1,4
36,2/27/20,655,17,45.0,202,5,42,47
37,2/28/20,888,21,46.0,233,4,1,5
38,2/29/20,1128,29,46.0,240,8,0,8
39,3/1/20,1694,34,83.0,566,5,37,42
40,3/2/20,2036,52,149.0,342,18,66,84
41,3/3/20,2502,79,160.0,466,27,11,38
42,3/4/20,3089,107,276.0,587,28,116,144
43,3/5/20,3858,148,414.0,769,41,138,179
44,3/6/20,4636,197,523.0,778,49,109,158
45,3/7/20,5883,233,589.0,1247,36,66,102
46,3/8/20,7375,366,622.0,1492,133,33,166
47,3/9/20,9172,463,724.0,1797,97,102,199
48,3/10/20,10149,631,724.0,977,168,0,168
49,3/11/20,12462,827,1045.0,2313,196,321,517
50,3/12/20,12462,827,1045.0,0,0,0,0
51,3/13/20,17660,1266,1439.0,5198,439,394,833
52,3/14/20,21157,1441,1966.0,3497,175,527,702
53,3/15/20,24747,1809,2335.0,3590,368,369,737
54,3/16/20,27980,2158,2749.0,3233,349,414,763
55,3/17/20,31506,2503,2941.0,3526,345,192,537
56,3/18/20,35713,2978,4025.0,4207,475,1084,1559
57,3/19/20,41035,3405,4440.0,5322,427,415,842
58,3/20/20,47021,4032,4440.0,5986,627,0,627
59,3/21/20,53578,4825,6072.0,6557,793,1632,2425
60,3/22/20,59138,5476,7024.0,5560,651,952,1603
61,3/23/20,63927,6077,7024.0,4789,601,0,601
62,3/24/20,69176,6820,8326.0,5249,743,1302,2045
63,3/25/20,74386,7503,9362.0,5210,683,1036,1719
64,3/26/20,80589,8215,10361.0,6203,712,999,1711
65,3/27/20,86498,9134,10950.0,5909,919,589,1508
66,3/28/20,92472,10023,12384.0,5974,889,1434,2323
67,3/29/20,97689,10779,13030.0,5217,756,646,1402
68,3/30/20,101739,11591,14620.0,4050,812,1590,2402
69,3/31/20,105792,12428,15729.0,4053,837,1109,1946
70,4/1/20,110574,13155,16847.0,4782,727,1118,1845
71,4/2/20,115242,13915,18278.0,4668,760,1431,2191
72,4/3/20,119827,14681,19758.0,4585,766,1480,2246
73,4/4/20,124632,15362,20996.0,4805,681,1238,1919
74,4/5/20,128948,15887,21815.0,4316,525,819,1344
75,4/6/20,132547,16523,22837.0,3599,636,1022,1658
76,4/7/20,135586,17127,24392.0,3039,604,1555,2159
77,4/8/20,139422,17669,26491.0,3836,542,2099,2641
78,4/9/20,143626,18279,28470.0,4204,610,1979,2589
79,4/10/20,147577,18849,30455.0,3951,570,1985,2555
