,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,2,0,0,0,0,0,0
1,1/23/20,2,0,0,0,0,0,0
2,1/24/20,2,0,0,0,0,0,0
3,1/25/20,2,0,0,0,0,0,0
4,1/26/20,4,0,1,2,0,1,1
5,1/27/20,4,0,1,0,0,0,0
6,1/28/20,7,0,1,3,0,0,0
7,1/29/20,7,0,1,0,0,0,0
8,1/30/20,11,0,1,4,0,0,0
9,1/31/20,15,0,1,4,0,0,0
10,2/1/20,20,0,1,5,0,0,0
11,2/2/20,20,0,1,0,0,0,0
12,2/3/20,20,0,1,0,0,0,0
13,2/4/20,22,0,1,2,0,0,0
14,2/5/20,22,0,1,0,0,0,0
15,2/6/20,22,0,1,0,0,0,0
16,2/7/20,25,0,1,3,0,0,0
17,2/8/20,25,0,1,0,0,0,0
18,2/9/20,26,0,1,1,0,0,0
19,2/10/20,26,0,4,0,0,3,3
20,2/11/20,26,0,9,0,0,5,5
21,2/12/20,28,0,9,2,0,0,0
22,2/13/20,28,1,9,0,1,0,1
23,2/14/20,29,1,9,1,0,0,0
24,2/15/20,43,1,12,14,0,3,3
25,2/16/20,59,1,12,16,0,0,0
26,2/17/20,66,1,12,7,0,0,0
27,2/18/20,74,1,13,8,0,1,1
28,2/19/20,84,1,18,10,0,5,5
29,2/20/20,94,1,18,10,0,0,0
30,2/21/20,105,1,22,11,0,4,4
31,2/22/20,122,1,22,17,0,0,0
32,2/23/20,147,1,22,25,0,0,0
33,2/24/20,159,1,22,12,0,0,0
34,2/25/20,170,1,22,11,0,0,0
35,2/26/20,189,2,22,19,1,0,1
36,2/27/20,214,4,22,25,2,0,2
37,2/28/20,228,4,22,14,0,0,0
38,2/29/20,241,5,32,13,1,10,11
39,3/1/20,256,6,32,15,1,0,1
40,3/2/20,274,6,32,18,0,0,0
41,3/3/20,293,6,43,19,0,11,11
42,3/4/20,331,6,43,38,0,0,0
43,3/5/20,360,6,43,29,0,0,0
44,3/6/20,420,6,46,60,0,3,3
45,3/7/20,461,6,76,41,0,30,30
46,3/8/20,502,6,76,41,0,0,0
47,3/9/20,511,10,76,9,4,0,4
48,3/10/20,581,10,101,70,0,25,25
49,3/11/20,639,15,118,58,5,17,22
50,3/12/20,639,16,118,0,1,0,1
51,3/13/20,701,19,118,62,3,0,3
52,3/14/20,773,22,118,72,3,0,3
53,3/15/20,839,22,118,66,0,0,0
54,3/16/20,839,27,144,0,5,26,31
55,3/17/20,878,29,144,39,2,0,2
56,3/18/20,889,29,144,11,0,0,0
57,3/19/20,924,29,150,35,0,6,6
58,3/20/20,963,33,191,39,4,41,45
59,3/21/20,1007,35,232,44,2,41,43
60,3/22/20,1101,41,235,94,6,3,9
61,3/23/20,1128,42,235,27,1,0,1
62,3/24/20,1193,43,285,65,1,50,51
63,3/25/20,1307,45,310,114,2,25,27
64,3/26/20,1387,47,359,80,2,49,51
65,3/27/20,1468,49,372,81,2,13,15
66,3/28/20,1693,52,404,225,3,32,35
67,3/29/20,1866,54,424,173,2,20,22
68,3/30/20,1866,54,424,0,0,0,0
69,3/31/20,1953,56,424,87,2,0,2
70,4/1/20,2178,57,472,225,1,48,49
71,4/2/20,2495,62,472,317,5,0,5
72,4/3/20,2617,63,514,122,1,42,43
73,4/4/20,3139,77,514,522,14,0,14
74,4/5/20,3139,77,514,0,0,0,0
75,4/6/20,3654,85,575,515,8,61,69
76,4/7/20,3906,92,592,252,7,17,24
77,4/8/20,4257,93,622,351,1,30,31
78,4/9/20,4667,94,632,410,1,10,11
79,4/10/20,5530,99,685,863,5,53,58
