,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,1,0,0.0,0,0,0,0
1,1/23/20,1,0,0.0,0,0,0,0
2,1/24/20,2,0,0.0,1,0,0,0
3,1/25/20,2,0,0.0,0,0,0,0
4,1/26/20,3,0,0.0,1,0,0,0
5,1/27/20,4,0,0.0,1,0,0,0
6,1/28/20,4,0,0.0,0,0,0,0
7,1/29/20,4,0,0.0,0,0,0,0
8,1/30/20,4,0,0.0,0,0,0,0
9,1/31/20,11,0,0.0,7,0,0,0
10,2/1/20,12,0,0.0,1,0,0,0
11,2/2/20,15,0,0.0,3,0,0,0
12,2/3/20,15,0,0.0,0,0,0,0
13,2/4/20,16,0,0.0,1,0,0,0
14,2/5/20,19,0,0.0,3,0,0,0
15,2/6/20,23,0,0.0,4,0,0,0
16,2/7/20,24,0,1.0,1,0,1,1
17,2/8/20,24,0,1.0,0,0,0,0
18,2/9/20,25,0,3.0,1,0,2,2
19,2/10/20,27,0,3.0,2,0,0,0
20,2/11/20,28,0,3.0,1,0,0,0
21,2/12/20,28,0,7.0,0,0,4,4
22,2/13/20,28,0,7.0,0,0,0,0
23,2/14/20,28,0,7.0,0,0,0,0
24,2/15/20,28,0,9.0,0,0,2,2
25,2/16/20,29,0,9.0,1,0,0,0
26,2/17/20,30,0,10.0,1,0,1,1
27,2/18/20,31,0,12.0,1,0,2,2
28,2/19/20,31,0,12.0,0,0,0,0
29,2/20/20,104,1,16.0,73,1,4,5
30,2/21/20,204,2,16.0,100,1,0,1
31,2/22/20,433,2,16.0,229,0,0,0
32,2/23/20,602,6,18.0,169,4,2,6
33,2/24/20,833,8,18.0,231,2,0,2
34,2/25/20,977,10,22.0,144,2,4,6
35,2/26/20,1261,12,22.0,284,2,0,2
36,2/27/20,1766,13,22.0,505,1,0,1
37,2/28/20,2337,13,22.0,571,0,0,0
38,2/29/20,3150,16,27.0,813,3,5,8
39,3/1/20,3736,17,30.0,586,1,3,4
40,3/2/20,4335,28,30.0,599,11,0,11
41,3/3/20,5186,28,30.0,851,0,0,0
42,3/4/20,5621,35,41.0,435,7,11,18
43,3/5/20,6088,35,41.0,467,0,0,0
44,3/6/20,6593,42,135.0,505,7,94,101
45,3/7/20,7041,44,135.0,448,2,0,2
46,3/8/20,7314,50,,273,6,0,-11
47,3/9/20,7478,53,135.0,164,3,0,3
48,3/10/20,7513,54,247.0,35,1,112,130
49,3/11/20,7755,60,288.0,242,6,41,47
50,3/12/20,7869,66,333.0,114,6,45,51
51,3/13/20,7979,66,510.0,110,0,177,177
52,3/14/20,8086,72,510.0,107,6,0,6
53,3/15/20,8162,75,510.0,76,3,0,3
54,3/16/20,8236,75,1137.0,74,0,627,627
55,3/17/20,8320,81,1407.0,84,6,270,276
56,3/18/20,8413,84,1540.0,93,3,133,136
57,3/19/20,8565,91,1540.0,152,7,0,7
58,3/20/20,8652,94,1540.0,87,3,0,3
59,3/21/20,8799,102,1540.0,147,8,0,8
60,3/22/20,8961,111,2909.0,162,9,1369,1378
61,3/23/20,8961,111,2909.0,0,0,0,0
62,3/24/20,9037,120,3507.0,76,9,598,607
63,3/25/20,9137,126,3730.0,100,6,223,229
64,3/26/20,9241,131,4144.0,104,5,414,419
65,3/27/20,9332,139,4528.0,91,8,384,392
66,3/28/20,9478,144,4811.0,146,5,283,288
67,3/29/20,9583,152,5033.0,105,8,222,230
68,3/30/20,9661,158,5228.0,78,6,195,201
69,3/31/20,9786,162,5408.0,125,4,180,184
70,4/1/20,9887,165,5567.0,101,3,159,162
71,4/2/20,9976,169,5828.0,89,4,261,265
72,4/3/20,10062,174,6021.0,86,5,193,198
73,4/4/20,10156,177,6325.0,94,3,304,307
74,4/5/20,10237,183,6463.0,81,6,138,144
75,4/6/20,10284,186,6598.0,47,3,135,138
76,4/7/20,10331,192,6694.0,47,6,96,102
77,4/8/20,10384,200,6776.0,53,8,82,90
