,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0
42,3/4/20,0,0,0,0,0,0,0
43,3/5/20,0,0,0,0,0,0,0
44,3/6/20,0,0,0,0,0,0,0
45,3/7/20,0,0,0,0,0,0,0
46,3/8/20,0,0,0,0,0,0,0
47,3/9/20,0,0,0,0,0,0,0
48,3/10/20,0,0,0,0,0,0,0
49,3/11/20,0,0,0,0,0,0,0
50,3/12/20,0,0,0,0,0,0,0
51,3/13/20,0,0,0,0,0,0,0
52,3/14/20,0,0,0,0,0,0,0
53,3/15/20,0,0,0,0,0,0,0
54,3/16/20,0,0,0,0,0,0,0
55,3/17/20,0,0,0,0,0,0,0
56,3/18/20,0,0,0,0,0,0,0
57,3/19/20,0,0,0,0,0,0,0
58,3/20/20,0,0,0,0,0,0,0
59,3/21/20,0,0,0,0,0,0,0
60,3/22/20,0,0,0,0,0,0,0
61,3/23/20,0,0,0,0,0,0,0
62,3/24/20,0,0,0,0,0,0,0
63,3/25/20,0,0,0,0,0,0,0
64,3/26/20,71,1,0,71,1,0,1
65,3/27/20,86,1,1,15,0,1,1
66,3/28/20,91,1,1,5,0,0,0
67,3/29/20,94,1,1,3,0,0,0
68,3/30/20,94,1,1,0,0,0,0
69,3/31/20,112,1,6,18,0,5,5
70,4/1/20,125,1,10,13,0,4,4
71,4/2/20,125,1,10,0,0,0,0
72,4/3/20,126,1,10,1,0,0,0
73,4/4/20,135,1,16,9,0,6,6
74,4/5/20,145,1,23,10,0,7,7
75,4/6/20,145,1,23,0,0,0,0
76,4/7/20,170,4,24,25,3,1,4
77,4/8/20,184,5,30,14,1,6,7
78,4/9/20,184,5,30,0,0,0,0
79,4/10/20,250,7,52,66,2,22,24
