,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,1,0,0,1,0,0,0
31,2/22/20,1,0,0,0,0,0,0
32,2/23/20,1,0,0,0,0,0,0
33,2/24/20,1,0,0,0,0,0,0
34,2/25/20,1,0,0,0,0,0,0
35,2/26/20,2,0,0,1,0,0,0
36,2/27/20,2,0,0,0,0,0,0
37,2/28/20,2,0,0,0,0,0,0
38,2/29/20,4,0,0,2,0,0,0
39,3/1/20,10,0,0,6,0,0,0
40,3/2/20,13,0,0,3,0,0,0
41,3/3/20,13,0,0,0,0,0,0
42,3/4/20,13,0,1,0,0,1,1
43,3/5/20,16,0,1,3,0,0,0
44,3/6/20,22,0,1,6,0,0,0
45,3/7/20,22,0,1,0,0,0,0
46,3/8/20,32,0,1,10,0,0,0
47,3/9/20,32,0,1,0,0,0,0
48,3/10/20,41,1,1,9,1,0,1
49,3/11/20,61,3,1,20,2,0,2
50,3/12/20,61,3,1,0,0,0,0
51,3/13/20,77,3,1,16,0,0,0
52,3/14/20,93,3,1,16,0,0,0
53,3/15/20,110,3,1,17,0,0,0
54,3/16/20,110,3,1,0,0,0,0
55,3/17/20,120,3,3,10,0,2,2
56,3/18/20,133,3,3,13,0,0,0
57,3/19/20,157,4,4,24,1,1,2
58,3/20/20,163,4,4,6,0,0,0
59,3/21/20,187,4,4,24,0,0,0
60,3/22/20,248,4,8,61,0,4,4
61,3/23/20,267,4,8,19,0,0,0
62,3/24/20,318,4,8,51,0,0,0
63,3/25/20,333,6,20,15,2,12,14
64,3/26/20,368,6,23,35,0,3,3
65,3/27/20,391,8,27,23,2,4,6
66,3/28/20,412,8,30,21,0,3,3
67,3/29/20,438,10,30,26,2,0,2
68,3/30/20,446,11,35,8,1,5,6
69,3/31/20,470,12,37,24,1,2,3
70,4/1/20,479,14,43,9,2,6,8
71,4/2/20,494,16,46,15,2,3,5
72,4/3/20,508,17,50,14,1,4,5
73,4/4/20,520,17,54,12,0,4,4
74,4/5/20,527,18,54,7,1,0,1
75,4/6/20,541,19,60,14,1,6,7
76,4/7/20,548,19,62,7,0,2,2
77,4/8/20,576,19,62,28,0,0,0
78,4/9/20,582,19,67,6,0,5,5
79,4/10/20,609,20,76,27,1,9,10
