,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,1,0,0,1,0,0,0
39,3/1/20,1,0,0,0,0,0,0
40,3/2/20,1,0,0,0,0,0,0
41,3/3/20,1,0,0,0,0,0,0
42,3/4/20,1,0,0,0,0,0,0
43,3/5/20,1,0,0,0,0,0,0
44,3/6/20,2,0,0,1,0,0,0
45,3/7/20,2,0,0,0,0,0,0
46,3/8/20,3,0,0,1,0,0,0
47,3/9/20,3,0,0,0,0,0,0
48,3/10/20,5,0,0,2,0,0,0
49,3/11/20,7,0,0,2,0,0,0
50,3/12/20,19,0,0,12,0,0,0
51,3/13/20,34,0,0,15,0,0,0
52,3/14/20,51,1,0,17,1,0,1
53,3/15/20,59,1,0,8,0,0,0
54,3/16/20,77,1,0,18,0,0,0
55,3/17/20,140,1,0,63,0,0,0
56,3/18/20,203,2,0,63,1,0,1
57,3/19/20,335,4,0,132,2,0,2
58,3/20/20,484,4,0,149,0,0,0
59,3/21/20,670,8,0,186,4,0,4
60,3/22/20,798,8,6,128,0,6,6
61,3/23/20,875,8,6,77,0,0,0
62,3/24/20,1099,8,6,224,0,0,0
63,3/25/20,1333,8,6,234,0,0,0
64,3/26/20,1453,9,6,120,1,0,1
65,3/27/20,1605,15,40,152,6,34,40
66,3/28/20,1831,18,40,226,3,0,3
67,3/29/20,1950,21,40,119,3,0,3
68,3/30/20,1988,22,40,38,1,0,1
69,3/31/20,2178,23,80,190,1,40,41
70,4/1/20,2319,29,80,141,6,0,6
71,4/2/20,2487,30,80,168,1,0,1
72,4/3/20,2612,31,500,125,1,420,421
73,4/4/20,2729,31,500,117,0,0,0
74,4/5/20,2804,36,500,75,5,0,5
75,4/6/20,2843,41,500,39,5,0,5
76,4/7/20,2970,44,500,127,3,0,3
77,4/8/20,3034,46,500,64,2,0,2
78,4/9/20,3115,52,500,81,6,0,6
79,4/10/20,3223,54,500,108,2,0,2
