dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/07/20,0,0,0,,,,
03/08/20,0,0,0,0.0,0.0,0.0,0.0
03/09/20,0,0,0,0.0,0.0,0.0,0.0
03/10/20,0,0,0,0.0,0.0,0.0,0.0
03/11/20,0,0,0,0.0,0.0,0.0,0.0
03/12/20,1,0,0,1.0,0.0,0.0,0.0
03/13/20,1,0,0,0.0,0.0,0.0,0.0
03/14/20,5,0,0,4.0,0.0,0.0,0.0
03/15/20,7,0,0,2.0,0.0,0.0,0.0
03/16/20,7,0,0,0.0,0.0,0.0,0.0
03/17/20,8,0,0,1.0,0.0,0.0,0.0
03/18/20,10,0,0,2.0,0.0,0.0,0.0
03/19/20,12,0,0,2.0,0.0,0.0,0.0
03/20/20,16,0,0,4.0,0.0,0.0,0.0
03/21/20,20,0,0,4.0,0.0,0.0,0.0
03/22/20,31,0,0,11.0,0.0,0.0,0.0
03/23/20,34,0,0,3.0,0.0,0.0,0.0
03/24/20,46,0,0,12.0,0.0,0.0,0.0
03/25/20,53,0,0,7.0,0.0,0.0,0.0
03/26/20,71,0,0,18.0,0.0,0.0,0.0
03/27/20,108,0,0,37.0,0.0,0.0,0.0
03/28/20,129,1,0,21.0,1.0,0.0,1.0
03/29/20,154,1,0,25.0,0.0,0.0,0.0
03/30/20,171,4,0,17.0,3.0,0.0,3.0
03/31/20,184,4,0,13.0,0.0,0.0,0.0
04/01/20,208,5,0,24.0,1.0,0.0,1.0
04/02/20,227,5,0,19.0,0.0,0.0,0.0
04/03/20,243,5,0,16.0,0.0,0.0,0.0
04/04/20,265,5,0,22.0,0.0,0.0,0.0
04/05/20,286,6,0,21.0,1.0,0.0,1.0
04/06/20,299,6,0,13.0,0.0,0.0,0.0
04/07/20,319,6,0,20.0,0.0,0.0,0.0
04/08/20,332,6,135,13.0,0.0,135.0,135.0
