,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,3,0,0,3,0,0,0
4,1/26/20,4,0,0,1,0,0,0
5,1/27/20,4,0,0,0,0,0,0
6,1/28/20,4,0,0,0,0,0,0
7,1/29/20,7,0,0,3,0,0,0
8,1/30/20,8,0,0,1,0,0,0
9,1/31/20,8,0,0,0,0,0,0
10,2/1/20,8,0,0,0,0,0,0
11,2/2/20,8,0,0,0,0,0,0
12,2/3/20,8,0,0,0,0,0,0
13,2/4/20,10,0,0,2,0,0,0
14,2/5/20,12,0,0,2,0,0,0
15,2/6/20,12,0,0,0,0,0,0
16,2/7/20,12,0,1,0,0,1,1
17,2/8/20,16,0,1,4,0,0,0
18,2/9/20,16,0,1,0,0,0,0
19,2/10/20,18,0,1,2,0,0,0
20,2/11/20,18,0,3,0,0,2,2
21,2/12/20,18,0,3,0,0,0,0
22,2/13/20,19,0,3,1,0,0,0
23,2/14/20,19,0,3,0,0,0,0
24,2/15/20,22,0,7,3,0,4,4
25,2/16/20,22,0,7,0,0,0,0
26,2/17/20,22,0,7,0,0,0,0
27,2/18/20,22,0,13,0,0,6,6
28,2/19/20,22,0,15,0,0,2,2
29,2/20/20,22,0,15,0,0,0,0
30,2/21/20,22,0,15,0,0,0,0
31,2/22/20,22,0,15,0,0,0,0
32,2/23/20,22,0,15,0,0,0,0
33,2/24/20,22,0,18,0,0,3,3
34,2/25/20,22,0,18,0,0,0,0
35,2/26/20,22,0,18,0,0,0,0
36,2/27/20,23,0,18,1,0,0,0
37,2/28/20,23,0,18,0,0,0,0
38,2/29/20,25,0,18,2,0,0,0
39,3/1/20,29,0,18,4,0,0,0
40,3/2/20,29,0,18,0,0,0,0
41,3/3/20,36,0,22,7,0,4,4
42,3/4/20,50,0,22,14,0,0,0
43,3/5/20,50,0,22,0,0,0,0
44,3/6/20,83,0,22,33,0,0,0
45,3/7/20,93,0,23,10,0,1,1
46,3/8/20,99,0,24,6,0,1,1
47,3/9/20,117,0,24,18,0,0,0
48,3/10/20,129,0,24,12,0,0,0
49,3/11/20,149,0,26,20,0,2,2
50,3/12/20,149,0,26,0,0,0,0
51,3/13/20,197,0,26,48,0,0,0
52,3/14/20,238,0,35,41,0,9,9
53,3/15/20,428,0,42,190,0,7,7
54,3/16/20,566,0,42,138,0,0,0
55,3/17/20,673,2,49,107,2,7,9
56,3/18/20,790,2,60,117,0,11,11
57,3/19/20,900,2,75,110,0,15,15
58,3/20/20,1030,3,87,130,1,12,13
59,3/21/20,1183,4,114,153,1,27,28
60,3/22/20,1306,10,139,123,6,25,31
61,3/23/20,1518,14,139,212,4,0,4
62,3/24/20,1624,16,183,106,2,44,46
63,3/25/20,1796,20,199,172,4,16,20
64,3/26/20,2031,23,215,235,3,16,19
65,3/27/20,2161,26,259,130,3,44,47
66,3/28/20,2320,27,320,159,1,61,62
67,3/29/20,2470,35,388,150,8,68,76
68,3/30/20,2626,37,479,156,2,91,93
69,3/31/20,2766,43,537,140,6,58,64
70,4/1/20,2908,45,645,142,2,108,110
71,4/2/20,3116,50,767,208,5,122,127
72,4/3/20,3333,53,827,217,3,60,63
73,4/4/20,3483,57,915,150,4,88,92
74,4/5/20,3662,61,1005,179,4,90,94
75,4/6/20,3793,62,1241,131,1,236,237
76,4/7/20,3963,63,1321,170,1,80,81
77,4/8/20,4119,65,1487,156,2,166,168
78,4/9/20,4228,67,1608,109,2,121,123
79,4/10/20,4346,70,1830,118,3,222,225
