,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,1,0,0,1,0,0,0
41,3/3/20,1,0,0,0,0,0,0
42,3/4/20,1,0,0,0,0,0,0
43,3/5/20,2,0,0,1,0,0,0
44,3/6/20,2,0,0,0,0,0,0
45,3/7/20,2,0,0,0,0,0,0
46,3/8/20,2,0,0,0,0,0,0
47,3/9/20,2,0,0,0,0,0,0
48,3/10/20,3,1,0,1,1,0,1
49,3/11/20,5,1,0,2,0,0,0
50,3/12/20,6,1,0,1,0,0,0
51,3/13/20,7,1,1,1,0,1,1
52,3/14/20,17,1,1,10,0,0,0
53,3/15/20,28,1,1,11,0,0,0
54,3/16/20,29,1,1,1,0,0,0
55,3/17/20,38,2,1,9,1,0,1
56,3/18/20,49,2,1,11,0,0,0
57,3/19/20,63,2,1,14,0,0,0
58,3/20/20,77,3,1,14,1,0,1
59,3/21/20,96,3,3,19,0,2,2
60,3/22/20,115,4,3,19,1,0,1
61,3/23/20,143,4,3,28,0,0,0
62,3/24/20,170,5,6,27,1,3,4
63,3/25/20,225,6,7,55,1,1,2
64,3/26/20,275,11,8,50,5,1,6
65,3/27/20,345,23,11,70,12,3,15
66,3/28/20,402,25,11,57,2,0,2
67,3/29/20,479,26,13,77,1,2,3
68,3/30/20,556,33,15,77,7,2,9
69,3/31/20,617,36,24,61,3,9,12
70,4/1/20,654,39,29,37,3,5,8
71,4/2/20,708,44,31,54,5,2,7
72,4/3/20,791,48,57,83,4,26,30
73,4/4/20,919,59,66,128,11,9,20
74,4/5/20,1021,70,76,102,11,10,21
75,4/6/20,1120,80,81,99,10,5,15
76,4/7/20,1184,90,93,64,10,12,22
77,4/8/20,1275,93,97,91,3,4,7
78,4/9/20,1374,97,109,99,4,12,16
79,4/10/20,1448,107,122,74,10,13,23
