dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
1/22/20,0,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0,0
1/24/20,0,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0,0
1/26/20,0,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0,0
2/1/20,0,0,0,0,0,0,0
2/2/20,0,0,0,0,0,0,0
2/3/20,0,0,0,0,0,0,0
2/4/20,0,0,0,0,0,0,0
2/5/20,0,0,0,0,0,0,0
2/6/20,0,0,0,0,0,0,0
2/7/20,0,0,0,0,0,0,0
2/8/20,0,0,0,0,0,0,0
2/9/20,0,0,0,0,0,0,0
2/10/20,0,0,0,0,0,0,0
2/11/20,0,0,0,0,0,0,0
2/12/20,0,0,0,0,0,0,0
2/13/20,0,0,0,0,0,0,0
2/14/20,0,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0,0
2/16/20,0,0,0,0,0,0,0
2/17/20,0,0,0,0,0,0,0
2/18/20,0,0,0,0,0,0,0
2/19/20,0,0,0,0,0,0,0
2/20/20,0,0,0,0,0,0,0
2/21/20,0,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0,0
2/23/20,0,0,0,0,0,0,0
2/24/20,0,0,0,0,0,0,0
2/25/20,0,0,0,0,0,0,0
2/26/20,0,0,0,0,0,0,0
2/27/20,1,0,0,1,0,0,0
2/28/20,1,0,0,0,0,0,0
2/29/20,6,0,0,5,0,0,0
3/1/20,10,0,0,4,0,0,0
3/2/20,18,0,0,8,0,0,0
3/3/20,24,0,0,6,0,0,0
3/4/20,38,0,0,14,0,0,0
3/5/20,82,0,0,44,0,0,0
3/6/20,128,1,0,46,1,0,1
3/7/20,188,1,0,60,0,0,0
3/8/20,265,3,0,77,2,0,2
3/9/20,321,3,0,56,0,0,0
3/10/20,382,4,0,61,1,0,1
3/11/20,503,5,0,121,1,0,1
3/12/20,503,5,0,0,0,0,0
3/13/20,804,10,0,301,5,0,5
3/14/20,959,12,2,155,2,2,4
3/15/20,1135,20,2,176,8,0,8
3/16/20,1413,24,2,278,4,0,4
3/17/20,1705,43,2,292,19,0,19
3/18/20,2051,58,2,346,15,0,15
3/19/20,2460,76,2,409,18,0,18
3/20/20,2994,106,2,534,30,0,30
3/21/20,3631,136,2,637,30,0,30
3/22/20,4204,179,2,573,43,0,43
3/23/20,4749,213,2,545,34,0,34
3/24/20,5560,276,2,811,63,0,63
3/25/20,6412,356,3,852,80,1,81
3/26/20,7431,434,3,1019,78,0,78
3/27/20,8603,546,3,1172,112,0,112
3/28/20,9762,639,3,1159,93,0,93
3/29/20,10866,771,250,1104,132,247,379
3/30/20,11750,864,250,884,93,0,93
3/31/20,12595,1039,250,845,175,0,175
4/1/20,13614,1173,250,1019,134,0,134
4/2/20,14697,1339,250,1083,166,0,166
4/3/20,15723,1487,250,1026,148,0,148
4/4/20,16627,1651,250,904,164,0,164
4/5/20,17851,1766,250,1224,115,0,115
4/6/20,18803,1867,250,952,101,0,101
4/7/20,19580,2101,250,777,234,0,234
