,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,1,0,0,1,0,0,0
36,2/27/20,1,0,0,0,0,0,0
37,2/28/20,1,0,0,0,0,0,0
38,2/29/20,1,0,0,0,0,0,0
39,3/1/20,1,0,0,0,0,0,0
40,3/2/20,1,0,0,0,0,0,0
41,3/3/20,1,0,0,0,0,0,0
42,3/4/20,1,0,0,0,0,0,0
43,3/5/20,1,0,0,0,0,0,0
44,3/6/20,3,0,0,2,0,0,0
45,3/7/20,3,0,0,0,0,0,0
46,3/8/20,3,0,0,0,0,0,0
47,3/9/20,3,0,0,0,0,0,0
48,3/10/20,7,0,0,4,0,0,0
49,3/11/20,7,0,0,0,0,0,0
50,3/12/20,7,0,0,0,0,0,0
51,3/13/20,14,0,1,7,0,1,1
52,3/14/20,14,0,1,0,0,0,0
53,3/15/20,14,0,1,0,0,0,0
54,3/16/20,18,0,1,4,0,0,0
55,3/17/20,26,0,1,8,0,0,0
56,3/18/20,35,0,1,9,0,0,0
57,3/19/20,48,0,1,13,0,0,0
58,3/20/20,67,0,1,19,0,0,0
59,3/21/20,85,0,1,18,0,0,0
60,3/22/20,115,1,1,30,1,0,1
61,3/23/20,136,2,1,21,1,0,1
62,3/24/20,148,2,1,12,0,0,0
63,3/25/20,177,3,1,29,1,0,1
64,3/26/20,201,3,3,24,0,2,2
65,3/27/20,219,3,3,18,0,0,0
66,3/28/20,241,4,3,22,1,0,1
67,3/29/20,259,6,3,18,2,0,2
68,3/30/20,285,7,12,26,1,9,10
69,3/31/20,329,9,12,44,2,0,2
70,4/1/20,354,11,17,25,2,5,7
71,4/2/20,384,11,17,30,0,0,0
72,4/3/20,430,12,20,46,1,3,4
73,4/4/20,483,17,20,53,5,0,5
74,4/5/20,555,18,23,72,1,3,4
75,4/6/20,570,23,30,15,5,7,12
76,4/7/20,599,26,30,29,3,0,3
77,4/8/20,617,29,35,18,3,5,8
78,4/9/20,663,30,37,46,1,2,3
79,4/10/20,711,32,41,48,2,4,6
