,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,1,0,0,1,0,0,0
36,2/27/20,1,0,0,0,0,0,0
37,2/28/20,6,0,0,5,0,0,0
38,2/29/20,15,0,0,9,0,0,0
39,3/1/20,19,0,0,4,0,0,0
40,3/2/20,25,0,0,6,0,0,0
41,3/3/20,32,0,0,7,0,0,0
42,3/4/20,56,0,0,24,0,0,0
43,3/5/20,87,0,0,31,0,0,0
44,3/6/20,108,0,0,21,0,0,0
45,3/7/20,147,0,0,39,0,0,0
46,3/8/20,176,0,0,29,0,0,0
47,3/9/20,205,0,1,29,0,1,1
48,3/10/20,400,0,1,195,0,0,0
49,3/11/20,598,0,1,198,0,0,0
50,3/12/20,702,0,1,104,0,0,0
51,3/13/20,996,0,1,294,0,0,0
52,3/14/20,1090,3,1,94,3,0,3
53,3/15/20,1221,3,1,131,0,0,0
54,3/16/20,1333,3,1,112,0,0,0
55,3/17/20,1463,3,1,130,0,0,0
56,3/18/20,1550,6,1,87,3,0,3
57,3/19/20,1746,7,1,196,1,0,1
58,3/20/20,1914,7,1,168,0,0,0
59,3/21/20,2118,7,1,204,0,0,0
60,3/22/20,2385,7,1,267,0,0,0
61,3/23/20,2621,10,1,236,3,0,3
62,3/24/20,2863,12,6,242,2,5,7
63,3/25/20,3084,14,6,221,2,0,2
64,3/26/20,3369,14,6,285,0,0,0
65,3/27/20,3755,19,6,386,5,0,5
66,3/28/20,4015,23,7,260,4,1,5
67,3/29/20,4284,25,7,269,2,0,2
68,3/30/20,4445,32,12,161,7,5,12
69,3/31/20,4641,39,13,196,7,1,8
70,4/1/20,4863,44,13,222,5,0,5
71,4/2/20,5147,50,32,284,6,19,25
72,4/3/20,5370,59,32,223,9,0,9
73,4/4/20,5550,62,32,180,3,0,3
74,4/5/20,5687,71,32,137,9,0,9
75,4/6/20,5865,76,32,178,5,0,5
76,4/7/20,6086,89,32,221,13,0,13
77,4/8/20,6086,101,32,0,12,0,12
78,4/9/20,6211,108,32,125,7,0,7
79,4/10/20,6314,113,32,103,5,0,5
