dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/07/20,1,0,0,,,,
03/08/20,1,0,0,0.0,0.0,0.0,0.0
03/09/20,1,0,0,0.0,0.0,0.0,0.0
03/10/20,2,0,0,1.0,0.0,0.0,0.0
03/11/20,2,0,0,0.0,0.0,0.0,0.0
03/12/20,3,0,0,1.0,0.0,0.0,0.0
03/13/20,3,0,0,0.0,0.0,0.0,0.0
03/14/20,4,0,0,1.0,0.0,0.0,0.0
03/15/20,9,0,0,5.0,0.0,0.0,0.0
03/16/20,10,0,0,1.0,0.0,0.0,0.0
03/17/20,17,0,0,7.0,0.0,0.0,0.0
03/18/20,29,0,0,12.0,0.0,0.0,0.0
03/19/20,44,1,0,15.0,1.0,0.0,1.0
03/20/20,49,1,0,5.0,0.0,0.0,0.0
03/21/20,53,1,0,4.0,0.0,0.0,0.0
03/22/20,67,2,0,14.0,1.0,0.0,1.0
03/23/20,81,2,0,14.0,0.0,0.0,0.0
03/24/20,106,3,0,25.0,1.0,0.0,1.0
03/25/20,164,5,0,58.0,2.0,0.0,2.0
03/26/20,248,7,0,84.0,2.0,0.0,2.0
03/27/20,322,8,0,74.0,1.0,0.0,1.0
03/28/20,377,15,0,55.0,7.0,0.0,7.0
03/29/20,429,16,0,52.0,1.0,0.0,1.0
03/30/20,481,17,0,52.0,1.0,0.0,1.0
03/31/20,565,23,0,84.0,6.0,0.0,6.0
04/01/20,719,30,0,154.0,7.0,0.0,7.0
04/02/20,879,34,0,160.0,4.0,0.0,4.0
04/03/20,988,38,0,109.0,4.0,0.0,4.0
04/04/20,1159,42,0,171.0,4.0,0.0,4.0
04/05/20,1252,46,0,93.0,4.0,0.0,4.0
04/06/20,1327,51,0,75.0,5.0,0.0,5.0
04/07/20,1472,67,0,145.0,16.0,0.0,16.0
04/08/20,1524,79,612,52.0,12.0,612.0,624.0
