,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0
42,3/4/20,0,0,0,0,0,0,0
43,3/5/20,0,0,0,0,0,0,0
44,3/6/20,0,0,0,0,0,0,0
45,3/7/20,0,0,0,0,0,0,0
46,3/8/20,0,0,0,0,0,0,0
47,3/9/20,0,0,0,0,0,0,0
48,3/10/20,1,0,0,1,0,0,0
49,3/11/20,8,1,0,7,1,0,1
50,3/12/20,11,1,0,3,0,0,0
51,3/13/20,27,1,0,16,0,0,0
52,3/14/20,36,1,0,9,0,0,0
53,3/15/20,43,1,0,7,0,0,0
54,3/16/20,55,1,0,12,0,0,0
55,3/17/20,69,1,0,14,0,0,0
56,3/18/20,86,1,0,17,0,0,0
57,3/19/20,109,1,0,23,0,0,0
58,3/20/20,137,1,0,28,0,0,0
59,3/21/20,200,1,0,63,0,0,0
60,3/22/20,313,3,0,113,2,0,2
61,3/23/20,345,6,0,32,3,0,3
62,3/24/20,345,6,1,0,0,1,1
63,3/25/20,443,8,1,98,2,0,2
64,3/26/20,558,8,2,115,0,1,1
65,3/27/20,674,9,2,116,1,0,1
66,3/28/20,786,14,2,112,5,0,5
67,3/29/20,901,17,4,115,3,2,5
68,3/30/20,989,24,4,88,7,0,7
69,3/31/20,1181,30,9,192,6,5,11
70,4/1/20,1181,30,9,0,0,0,0
71,4/2/20,1317,32,9,136,2,0,2
72,4/3/20,1475,37,10,158,5,1,6
73,4/4/20,1673,41,13,198,4,3,7
74,4/5/20,1801,46,13,128,5,0,5
75,4/6/20,1988,54,13,187,8,0,8
76,4/7/20,2100,55,14,112,1,1,2
77,4/8/20,2249,59,16,149,4,2,6
78,4/9/20,2528,63,16,279,4,0,4
79,4/10/20,2752,66,16,224,3,0,3
