,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0
42,3/4/20,0,0,0,0,0,0,0
43,3/5/20,0,0,0,0,0,0,0
44,3/6/20,1,0,0,1,0,0,0
45,3/7/20,1,0,0,0,0,0,0
46,3/8/20,6,0,0,5,0,0,0
47,3/9/20,7,0,0,1,0,0,0
48,3/10/20,11,0,0,4,0,0,0
49,3/11/20,11,0,0,0,0,0,0
50,3/12/20,15,0,0,4,0,0,0
51,3/13/20,28,0,0,13,0,0,0
52,3/14/20,38,0,0,10,0,0,0
53,3/15/20,43,0,0,5,0,0,0
54,3/16/20,86,0,0,43,0,0,0
55,3/17/20,117,0,1,31,0,1,1
56,3/18/20,145,0,1,28,0,0,0
57,3/19/20,234,0,1,89,0,0,0
58,3/20/20,234,3,1,0,3,0,3
59,3/21/20,318,5,1,84,2,0,2
60,3/22/20,363,5,1,45,0,0,0
61,3/23/20,395,5,1,32,0,0,0
62,3/24/20,416,7,1,21,2,0,2
63,3/25/20,480,9,1,64,2,0,2
64,3/26/20,580,9,14,100,0,13,13
65,3/27/20,635,11,16,55,2,2,4
66,3/28/20,671,16,16,36,5,0,5
67,3/29/20,852,18,16,181,2,0,2
68,3/30/20,950,24,53,98,6,37,43
69,3/31/20,1065,30,394,115,6,341,347
70,4/1/20,1323,38,394,258,8,0,8
71,4/2/20,1414,55,537,91,17,143,160
72,4/3/20,1595,61,537,181,6,0,6
73,4/4/20,1746,73,914,151,12,377,389
74,4/5/20,2281,83,989,535,10,75,85
75,4/6/20,2561,92,997,280,9,8,17
76,4/7/20,2954,107,1301,393,15,304,319
77,4/8/20,4342,121,1333,1388,14,32,46
78,4/9/20,5256,138,1438,914,17,105,122
79,4/10/20,5897,169,1569,641,31,131,162
