,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0.0,0,0,0,0
1,1/23/20,0,0,0.0,0,0,0,0
2,1/24/20,0,0,0.0,0,0,0,0
3,1/25/20,0,0,0.0,0,0,0,0
4,1/26/20,0,0,0.0,0,0,0,0
5,1/27/20,0,0,0.0,0,0,0,0
6,1/28/20,0,0,0.0,0,0,0,0
7,1/29/20,0,0,0.0,0,0,0,0
8,1/30/20,0,0,0.0,0,0,0,0
9,1/31/20,0,0,0.0,0,0,0,0
10,2/1/20,0,0,0.0,0,0,0,0
11,2/2/20,0,0,0.0,0,0,0,0
12,2/3/20,0,0,0.0,0,0,0,0
13,2/4/20,0,0,0.0,0,0,0,0
14,2/5/20,0,0,0.0,0,0,0,0
15,2/6/20,0,0,0.0,0,0,0,0
16,2/7/20,0,0,0.0,0,0,0,0
17,2/8/20,0,0,0.0,0,0,0,0
18,2/9/20,0,0,0.0,0,0,0,0
19,2/10/20,0,0,0.0,0,0,0,0
20,2/11/20,0,0,0.0,0,0,0,0
21,2/12/20,0,0,0.0,0,0,0,0
22,2/13/20,0,0,0.0,0,0,0,0
23,2/14/20,0,0,0.0,0,0,0,0
24,2/15/20,0,0,0.0,0,0,0,0
25,2/16/20,0,0,0.0,0,0,0,0
26,2/17/20,0,0,0.0,0,0,0,0
27,2/18/20,0,0,0.0,0,0,0,0
28,2/19/20,0,0,0.0,0,0,0,0
29,2/20/20,0,0,0.0,0,0,0,0
30,2/21/20,0,0,0.0,0,0,0,0
31,2/22/20,0,0,0.0,0,0,0,0
32,2/23/20,0,0,0.0,0,0,0,0
33,2/24/20,0,0,0.0,0,0,0,0
34,2/25/20,0,0,0.0,0,0,0,0
35,2/26/20,0,0,0.0,0,0,0,0
36,2/27/20,0,0,0.0,0,0,0,0
37,2/28/20,0,0,0.0,0,0,0,0
38,2/29/20,0,0,0.0,0,0,0,0
39,3/1/20,0,0,0.0,0,0,0,0
40,3/2/20,0,0,0.0,0,0,0,0
41,3/3/20,0,0,0.0,0,0,0,0
42,3/4/20,1,0,0.0,1,0,0,0
43,3/5/20,1,0,0.0,0,0,0,0
44,3/6/20,5,0,0.0,4,0,0,0
45,3/7/20,5,0,0.0,0,0,0,0
46,3/8/20,11,0,0.0,6,0,0,0
47,3/9/20,16,0,0.0,5,0,0,0
48,3/10/20,22,0,0.0,6,0,0,0
49,3/11/20,31,0,0.0,9,0,0,0
50,3/12/20,49,1,0.0,18,1,0,1
51,3/13/20,68,2,0.0,19,1,0,1
52,3/14/20,103,3,0.0,35,1,0,1
53,3/15/20,119,3,0.0,16,0,0,0
54,3/16/20,177,4,13.0,58,1,13,14
55,3/17/20,238,5,13.0,61,1,0,1
56,3/18/20,251,5,13.0,13,0,0,0
57,3/19/20,355,5,,104,0,0,-12
58,3/20/20,425,5,13.0,70,0,0,0
59,3/21/20,536,5,13.0,111,0,0,0
60,3/22/20,634,7,13.0,98,2,0,2
61,3/23/20,749,8,13.0,115,1,0,1
62,3/24/20,901,10,13.0,152,2,0,2
63,3/25/20,1051,14,13.0,150,4,0,10
64,3/26/20,1221,16,13.0,170,2,0,2
65,3/27/20,1389,16,13.0,168,0,0,0
66,3/28/20,1638,18,13.0,249,2,0,2
67,3/29/20,1862,22,13.0,224,4,0,4
68,3/30/20,2055,31,13.0,193,9,0,9
69,3/31/20,2311,33,13.0,256,2,0,2
70,4/1/20,2554,43,47.0,243,10,34,50
71,4/2/20,2946,57,56.0,392,14,9,23
72,4/3/20,3383,71,56.0,437,14,0,14
73,4/4/20,3627,79,116.0,244,8,60,68
74,4/5/20,4102,94,134.0,475,15,18,33
75,4/6/20,4413,107,162.0,311,13,28,41
76,4/7/20,4848,129,191.0,435,22,29,51
77,4/8/20,5205,159,222.0,357,30,31,61
78,4/9/20,5575,174,284.0,370,15,62,77
79,4/10/20,5955,181,318.0,380,7,34,41
