,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,2,0,0,2,0,0,0
41,3/3/20,2,0,0,0,0,0,0
42,3/4/20,5,0,0,3,0,0,0
43,3/5/20,8,0,0,3,0,0,0
44,3/6/20,13,0,0,5,0,0,0
45,3/7/20,20,0,0,7,0,0,0
46,3/8/20,30,0,0,10,0,0,0
47,3/9/20,30,0,0,0,0,0,0
48,3/10/20,41,0,0,11,0,0,0
49,3/11/20,59,0,0,18,0,0,0
50,3/12/20,59,0,0,0,0,0,0
51,3/13/20,112,0,1,53,0,1,1
52,3/14/20,169,0,2,57,0,1,1
53,3/15/20,245,0,2,76,0,0,0
54,3/16/20,331,0,3,86,0,1,1
55,3/17/20,448,1,3,117,1,0,1
56,3/18/20,448,2,3,0,1,0,1
57,3/19/20,785,3,3,337,1,0,1
58,3/20/20,1020,6,5,235,3,2,5
59,3/21/20,1280,12,5,260,6,0,6
60,3/22/20,1600,14,5,320,2,0,2
61,3/23/20,2060,23,5,460,9,0,9
62,3/24/20,2362,33,22,302,10,17,27
63,3/25/20,2995,43,22,633,10,0,10
64,3/26/20,3544,60,43,549,17,21,38
65,3/27/20,4268,76,43,724,16,0,16
66,3/28/20,5170,100,43,902,24,0,24
67,3/29/20,5962,119,43,792,19,0,19
68,3/30/20,6408,140,43,446,21,0,21
69,3/31/20,7443,160,43,1035,20,0,20
70,4/1/20,8251,187,43,808,27,0,27
71,4/2/20,9034,209,68,783,22,25,47
72,4/3/20,9886,246,68,852,37,0,37
73,4/4/20,10524,266,75,638,20,7,27
74,4/5/20,11278,295,75,754,29,0,29
75,4/6/20,11730,311,140,452,16,65,81
76,4/7/20,12442,345,184,712,34,44,78
77,4/8/20,13141,380,196,699,35,12,47
78,4/9/20,13956,409,205,815,29,9,38
79,4/10/20,15472,435,233,1516,26,28,54
