,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,1,0,0,1,0,0,0
36,2/27/20,1,0,0,0,0,0,0
37,2/28/20,3,0,0,2,0,0,0
38,2/29/20,3,0,0,0,0,0,0
39,3/1/20,3,0,0,0,0,0,0
40,3/2/20,3,0,0,0,0,0,0
41,3/3/20,3,0,0,0,0,0,0
42,3/4/20,4,0,1,1,0,1,1
43,3/5/20,6,0,1,2,0,0,0
44,3/6/20,9,0,1,3,0,0,0
45,3/7/20,9,0,3,0,0,2,2
46,3/8/20,15,0,3,6,0,0,0
47,3/9/20,15,0,3,0,0,0,0
48,3/10/20,25,0,3,10,0,0,0
49,3/11/20,45,0,6,20,0,3,3
50,3/12/20,49,0,6,4,0,0,0
51,3/13/20,89,0,7,40,0,1,1
52,3/14/20,123,0,9,34,0,2,2
53,3/15/20,131,0,9,8,0,0,0
54,3/16/20,158,0,9,27,0,0,0
55,3/17/20,184,0,16,26,0,7,7
56,3/18/20,260,0,19,76,0,3,3
57,3/19/20,277,0,25,17,0,6,6
58,3/20/20,308,0,25,31,0,0,0
59,3/21/20,367,0,52,59,0,27,27
60,3/22/20,433,3,64,66,3,12,15
61,3/23/20,576,7,64,143,4,0,4
62,3/24/20,794,11,79,218,4,15,19
63,3/25/20,906,17,86,112,6,7,13
64,3/26/20,1029,23,94,123,6,8,14
65,3/27/20,1292,26,115,263,3,21,24
66,3/28/20,1452,37,139,160,11,24,35
67,3/29/20,1815,43,206,363,6,67,73
68,3/30/20,2109,65,209,294,22,3,25
69,3/31/20,2245,82,220,136,17,11,28
70,4/1/20,2460,92,252,215,10,32,42
71,4/2/20,2738,115,267,278,23,15,38
72,4/3/20,3183,133,283,445,18,16,34
73,4/4/20,3613,146,329,430,13,46,59
74,4/5/20,3864,151,374,251,5,45,50
75,4/6/20,4057,176,406,193,25,32,57
76,4/7/20,4417,197,460,360,21,54,75
77,4/8/20,4761,220,528,344,23,68,91
78,4/9/20,5202,248,647,441,28,119,147
79,4/10/20,5467,270,729,265,22,82,104
