,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,2,0,0,2,0,0,0
10,2/1/20,2,0,0,0,0,0,0
11,2/2/20,2,0,0,0,0,0,0
12,2/3/20,2,0,0,0,0,0,0
13,2/4/20,2,0,0,0,0,0,0
14,2/5/20,2,0,0,0,0,0,0
15,2/6/20,2,0,0,0,0,0,0
16,2/7/20,2,0,0,0,0,0,0
17,2/8/20,2,0,0,0,0,0,0
18,2/9/20,2,0,0,0,0,0,0
19,2/10/20,2,0,0,0,0,0,0
20,2/11/20,2,0,0,0,0,0,0
21,2/12/20,2,0,2,0,0,2,2
22,2/13/20,2,0,2,0,0,0,0
23,2/14/20,2,0,2,0,0,0,0
24,2/15/20,2,0,2,0,0,0,0
25,2/16/20,2,0,2,0,0,0,0
26,2/17/20,2,0,2,0,0,0,0
27,2/18/20,2,0,2,0,0,0,0
28,2/19/20,2,0,2,0,0,0,0
29,2/20/20,2,0,2,0,0,0,0
30,2/21/20,2,0,2,0,0,0,0
31,2/22/20,2,0,2,0,0,0,0
32,2/23/20,2,0,2,0,0,0,0
33,2/24/20,2,0,2,0,0,0,0
34,2/25/20,2,0,2,0,0,0,0
35,2/26/20,2,0,2,0,0,0,0
36,2/27/20,2,0,2,0,0,0,0
37,2/28/20,2,0,2,0,0,0,0
38,2/29/20,2,0,2,0,0,0,0
39,3/1/20,2,0,2,0,0,0,0
40,3/2/20,3,0,2,1,0,0,0
41,3/3/20,3,0,2,0,0,0,0
42,3/4/20,3,0,2,0,0,0,0
43,3/5/20,4,0,2,1,0,0,0
44,3/6/20,13,0,2,9,0,0,0
45,3/7/20,13,0,2,0,0,0,0
46,3/8/20,17,0,3,4,0,1,1
47,3/9/20,17,0,3,0,0,0,0
48,3/10/20,20,0,3,3,0,0,0
49,3/11/20,20,0,3,0,0,0,0
50,3/12/20,28,0,3,8,0,0,0
51,3/13/20,45,0,3,17,0,0,0
52,3/14/20,59,0,8,14,0,5,5
53,3/15/20,63,0,8,4,0,0,0
54,3/16/20,90,0,8,27,0,0,0
55,3/17/20,114,0,8,24,0,0,0
56,3/18/20,147,0,8,33,0,0,0
57,3/19/20,199,1,9,52,1,1,2
58,3/20/20,253,1,9,54,0,0,0
59,3/21/20,306,1,12,53,0,3,3
60,3/22/20,367,1,16,61,0,4,4
61,3/23/20,438,1,16,71,0,0,0
62,3/24/20,495,1,22,57,0,6,6
63,3/25/20,658,3,29,163,2,7,9
64,3/26/20,840,3,38,182,0,9,9
65,3/27/20,1036,4,45,196,1,7,8
66,3/28/20,1264,4,49,228,0,4,4
67,3/29/20,1534,8,64,270,4,15,19
68,3/30/20,1836,9,66,302,1,2,3
69,3/31/20,2337,17,121,501,8,55,63
70,4/1/20,2777,24,190,440,7,69,76
71,4/2/20,3548,30,235,771,6,45,51
72,4/3/20,4149,34,281,601,4,46,50
73,4/4/20,4731,43,333,582,9,52,61
74,4/5/20,5389,45,355,658,2,22,24
75,4/6/20,6343,47,406,954,2,51,53
76,4/7/20,7497,58,494,1154,11,88,99
77,4/8/20,8672,63,580,1175,5,86,91
78,4/9/20,10131,76,698,1459,13,118,131
79,4/10/20,11917,94,795,1786,18,97,115
