dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/07/20,0,0,0,,,,
03/08/20,0,0,0,0.0,0.0,0.0,0.0
03/09/20,0,0,0,0.0,0.0,0.0,0.0
03/10/20,0,0,0,0.0,0.0,0.0,0.0
03/11/20,5,0,0,5.0,0.0,0.0,0.0
03/12/20,8,0,0,3.0,0.0,0.0,0.0
03/13/20,9,0,0,1.0,0.0,0.0,0.0
03/14/20,9,0,0,0.0,0.0,0.0,0.0
03/15/20,9,0,0,0.0,0.0,0.0,0.0
03/16/20,10,0,0,1.0,0.0,0.0,0.0
03/17/20,11,0,0,1.0,0.0,0.0,0.0
03/18/20,11,1,0,0.0,1.0,0.0,1.0
03/19/20,11,1,0,0.0,0.0,0.0,0.0
03/20/20,14,1,0,3.0,0.0,0.0,0.0
03/21/20,14,1,0,0.0,0.0,0.0,0.0
03/22/20,21,1,0,7.0,0.0,0.0,0.0
03/23/20,28,1,0,7.0,0.0,0.0,0.0
03/24/20,30,1,0,2.0,0.0,0.0,0.0
03/25/20,41,1,0,11.0,0.0,0.0,0.0
03/26/20,46,1,16,5.0,0.0,16.0,16.0
03/27/20,58,1,21,12.0,0.0,5.0,5.0
03/28/20,68,1,26,10.0,0.0,5.0,5.0
03/29/20,90,1,29,22.0,0.0,3.0,3.0
03/30/20,101,1,34,11.0,0.0,5.0,5.0
03/31/20,108,1,44,7.0,0.0,10.0,10.0
04/01/20,129,2,51,21.0,1.0,7.0,8.0
04/02/20,165,2,57,36.0,0.0,6.0,6.0
04/03/20,187,2,69,22.0,0.0,12.0,12.0
04/04/20,212,2,76,25.0,0.0,7.0,7.0
04/05/20,240,2,84,28.0,0.0,8.0,8.0
04/06/20,288,4,91,48.0,2.0,7.0,9.0
04/07/20,320,6,98,32.0,2.0,7.0,9.0
04/08/20,393,6,146,73.0,0.0,48.0,48.0
