,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,0,0,0,0,0,0,0
10,2/1/20,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0
12,2/3/20,0,0,0,0,0,0,0
13,2/4/20,0,0,0,0,0,0,0
14,2/5/20,0,0,0,0,0,0,0
15,2/6/20,0,0,0,0,0,0,0
16,2/7/20,0,0,0,0,0,0,0
17,2/8/20,0,0,0,0,0,0,0
18,2/9/20,0,0,0,0,0,0,0
19,2/10/20,0,0,0,0,0,0,0
20,2/11/20,0,0,0,0,0,0,0
21,2/12/20,0,0,0,0,0,0,0
22,2/13/20,0,0,0,0,0,0,0
23,2/14/20,0,0,0,0,0,0,0
24,2/15/20,0,0,0,0,0,0,0
25,2/16/20,0,0,0,0,0,0,0
26,2/17/20,0,0,0,0,0,0,0
27,2/18/20,0,0,0,0,0,0,0
28,2/19/20,0,0,0,0,0,0,0
29,2/20/20,0,0,0,0,0,0,0
30,2/21/20,0,0,0,0,0,0,0
31,2/22/20,0,0,0,0,0,0,0
32,2/23/20,0,0,0,0,0,0,0
33,2/24/20,0,0,0,0,0,0,0
34,2/25/20,0,0,0,0,0,0,0
35,2/26/20,0,0,0,0,0,0,0
36,2/27/20,0,0,0,0,0,0,0
37,2/28/20,0,0,0,0,0,0,0
38,2/29/20,0,0,0,0,0,0,0
39,3/1/20,0,0,0,0,0,0,0
40,3/2/20,1,0,0,1,0,0,0
41,3/3/20,1,0,0,0,0,0,0
42,3/4/20,1,0,0,0,0,0,0
43,3/5/20,5,0,0,4,0,0,0
44,3/6/20,5,0,0,0,0,0,0
45,3/7/20,5,0,0,0,0,0,0
46,3/8/20,11,0,0,6,0,0,0
47,3/9/20,15,0,0,4,0,0,0
48,3/10/20,20,0,1,5,0,1,1
49,3/11/20,21,0,1,1,0,0,0
50,3/12/20,45,0,1,24,0,0,0
51,3/13/20,86,0,1,41,0,0,0
52,3/14/20,103,0,1,17,0,0,0
53,3/15/20,103,0,1,0,0,0,0
54,3/16/20,118,0,2,15,0,1,1
55,3/17/20,171,0,6,53,0,4,4
56,3/18/20,171,0,6,0,0,0,0
57,3/19/20,274,0,6,103,0,0,0
58,3/20/20,344,0,8,70,0,2,2
59,3/21/20,392,0,16,48,0,8,8
60,3/22/20,511,0,16,119,0,0,0
61,3/23/20,562,0,16,51,0,0,0
62,3/24/20,767,1,28,205,1,12,13
63,3/25/20,900,2,29,133,1,1,2
64,3/26/20,1012,3,33,112,1,4,5
65,3/27/20,1104,3,35,92,0,2,2
66,3/28/20,1203,4,37,99,1,2,3
67,3/29/20,1299,8,66,96,4,29,33
68,3/30/20,1453,8,115,154,0,49,49
69,3/31/20,1563,10,165,110,2,50,52
70,4/1/20,1720,16,264,157,6,99,105
71,4/2/20,1885,21,328,165,5,64,69
72,4/3/20,2039,25,351,154,4,23,27
73,4/4/20,2179,29,420,140,4,69,73
74,4/5/20,2402,34,488,223,5,68,73
75,4/6/20,2605,38,551,203,4,63,67
76,4/7/20,2795,41,615,190,3,64,67
77,4/8/20,2932,41,631,137,0,16,16
78,4/9/20,3287,44,666,355,3,35,38
79,4/10/20,3651,47,685,364,3,19,22
