,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,1,0,0,1,0,0,0
2,1/24/20,3,0,0,2,0,0,0
3,1/25/20,3,0,0,0,0,0,0
4,1/26/20,4,0,0,1,0,0,0
5,1/27/20,5,0,0,1,0,0,0
6,1/28/20,7,0,0,2,0,0,0
7,1/29/20,7,0,0,0,0,0,0
8,1/30/20,10,0,0,3,0,0,0
9,1/31/20,13,0,0,3,0,0,0
10,2/1/20,16,0,0,3,0,0,0
11,2/2/20,18,0,0,2,0,0,0
12,2/3/20,18,0,0,0,0,0,0
13,2/4/20,24,0,0,6,0,0,0
14,2/5/20,28,0,0,4,0,0,0
15,2/6/20,28,0,0,0,0,0,0
16,2/7/20,30,0,0,2,0,0,0
17,2/8/20,33,0,2,3,0,2,2
18,2/9/20,40,0,2,7,0,0,0
19,2/10/20,45,0,2,5,0,0,0
20,2/11/20,47,0,9,2,0,7,7
21,2/12/20,50,0,15,3,0,6,6
22,2/13/20,58,0,15,8,0,0,0
23,2/14/20,67,0,17,9,0,2,2
24,2/15/20,72,0,18,5,0,1,1
25,2/16/20,75,0,18,3,0,0,0
26,2/17/20,77,0,24,2,0,6,6
27,2/18/20,81,0,29,4,0,5,5
28,2/19/20,84,0,34,3,0,5,5
29,2/20/20,84,0,34,0,0,0,0
30,2/21/20,85,0,37,1,0,3,3
31,2/22/20,85,0,37,0,0,0,0
32,2/23/20,89,0,51,4,0,14,14
33,2/24/20,89,0,51,0,0,0,0
34,2/25/20,91,0,53,2,0,2,2
35,2/26/20,93,0,62,2,0,9,9
36,2/27/20,93,0,62,0,0,0,0
37,2/28/20,93,0,62,0,0,0,0
38,2/29/20,102,0,72,9,0,10,10
39,3/1/20,106,0,72,4,0,0,0
40,3/2/20,108,0,78,2,0,6,6
41,3/3/20,110,0,78,2,0,0,0
42,3/4/20,110,0,78,0,0,0,0
43,3/5/20,117,0,78,7,0,0,0
44,3/6/20,130,0,78,13,0,0,0
45,3/7/20,138,0,78,8,0,0,0
46,3/8/20,150,0,78,12,0,0,0
47,3/9/20,150,0,78,0,0,0,0
48,3/10/20,160,0,78,10,0,0,0
49,3/11/20,178,0,96,18,0,18,18
50,3/12/20,178,0,96,0,0,0,0
51,3/13/20,200,0,97,22,0,1,1
52,3/14/20,212,0,105,12,0,8,8
53,3/15/20,226,0,105,14,0,0,0
54,3/16/20,243,0,109,17,0,4,4
55,3/17/20,266,0,114,23,0,5,5
56,3/18/20,313,0,114,47,0,0,0
57,3/19/20,345,0,114,32,0,0,0
58,3/20/20,385,0,124,40,0,10,10
59,3/21/20,432,2,140,47,2,16,18
60,3/22/20,455,2,144,23,0,4,4
61,3/23/20,509,2,144,54,0,0,0
62,3/24/20,558,2,156,49,0,12,12
63,3/25/20,631,2,160,73,0,4,4
64,3/26/20,683,2,172,52,0,12,12
65,3/27/20,732,2,183,49,0,11,11
66,3/28/20,802,2,198,70,0,15,15
67,3/29/20,844,3,212,42,1,14,15
68,3/30/20,879,3,228,35,0,16,16
69,3/31/20,926,3,240,47,0,12,12
70,4/1/20,1000,3,245,74,0,5,5
71,4/2/20,1049,4,266,49,1,21,22
72,4/3/20,1114,5,282,65,1,16,17
73,4/4/20,1189,6,297,75,1,15,16
74,4/5/20,1309,6,320,120,0,23,23
75,4/6/20,1375,6,344,66,0,24,24
76,4/7/20,1481,6,377,106,0,33,33
77,4/8/20,1623,6,406,142,0,29,29
78,4/9/20,1910,6,460,287,0,54,54
79,4/10/20,2108,7,492,198,1,32,33
