dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
1/22/20,0,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0,0
1/24/20,0,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0,0
1/26/20,0,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0,0
2/1/20,1,0,0,1,0,0,0
2/2/20,1,0,0,0,0,0,0
2/3/20,1,0,0,0,0,0,0
2/4/20,1,0,0,0,0,0,0
2/5/20,1,0,0,0,0,0,0
2/6/20,1,0,0,0,0,0,0
2/7/20,1,0,0,0,0,0,0
2/8/20,1,0,0,0,0,0,0
2/9/20,2,0,0,1,0,0,0
2/10/20,2,0,0,0,0,0,0
2/11/20,2,0,0,0,0,0,0
2/12/20,2,0,0,0,0,0,0
2/13/20,2,0,0,0,0,0,0
2/14/20,2,0,0,0,0,0,0
2/15/20,2,0,2,0,0,2,2
2/16/20,2,0,2,0,0,0,0
2/17/20,2,0,2,0,0,0,0
2/18/20,2,0,2,0,0,0,0
2/19/20,2,0,2,0,0,0,0
2/20/20,2,0,2,0,0,0,0
2/21/20,2,0,2,0,0,0,0
2/22/20,2,0,2,0,0,0,0
2/23/20,2,0,2,0,0,0,0
2/24/20,2,0,2,0,0,0,0
2/25/20,6,0,2,4,0,0,0
2/26/20,13,0,2,7,0,0,0
2/27/20,15,0,2,2,0,0,0
2/28/20,32,0,2,17,0,0,0
2/29/20,45,0,2,13,0,0,0
3/1/20,84,0,2,39,0,0,0
3/2/20,120,0,2,36,0,0,0
3/3/20,165,1,2,45,1,0,1
3/4/20,222,2,2,57,1,0,1
3/5/20,259,3,2,37,1,0,1
3/6/20,400,5,2,141,2,0,2
3/7/20,500,10,30,100,5,28,33
3/8/20,673,17,30,173,7,0,7
3/9/20,1073,28,32,400,11,2,13
3/10/20,1695,35,32,622,7,0,7
3/11/20,2277,54,183,582,19,151,170
3/12/20,2277,55,183,0,1,0,1
3/13/20,5232,133,193,2955,78,10,88
3/14/20,6391,195,517,1159,62,324,386
3/15/20,7798,289,517,1407,94,0,94
3/16/20,9942,342,530,2144,53,13,66
3/17/20,11748,533,1028,1806,191,498,689
3/18/20,13910,623,1081,2162,90,53,143
3/19/20,17963,830,1107,4053,207,26,233
3/20/20,20410,1043,1588,2447,213,481,694
3/21/20,25374,1375,2125,4964,332,537,869
3/22/20,28768,1772,2575,3394,397,450,847
3/23/20,35136,2311,2575,6368,539,0,539
3/24/20,39885,2808,3794,4749,497,1219,1716
3/25/20,49515,3647,5367,9630,839,1573,2412
3/26/20,57786,4365,7015,8271,718,1648,2366
3/27/20,65719,5138,9357,7933,773,2342,3115
3/28/20,73235,5982,12285,7516,844,2928,3772
3/29/20,80110,6803,14709,6875,821,2424,3245
3/30/20,87956,7716,16780,7846,913,2071,2984
3/31/20,95923,8464,19259,7967,748,2479,3227
4/1/20,104118,9387,22647,8195,923,3388,4311
4/2/20,112065,10348,26743,7947,961,4096,5057
4/3/20,119199,11198,30513,7134,850,3770,4620
4/4/20,126168,11947,34219,6969,749,3706,4455
4/5/20,131646,12641,38080,5478,694,3861,4555
4/6/20,136675,13341,40437,5029,700,2357,3057
