,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,1,0,0,1,0,0,0
10,2/1/20,1,0,0,0,0,0,0
11,2/2/20,1,0,0,0,0,0,0
12,2/3/20,1,0,0,0,0,0,0
13,2/4/20,1,0,0,0,0,0,0
14,2/5/20,1,0,0,0,0,0,0
15,2/6/20,1,0,0,0,0,0,0
16,2/7/20,1,0,0,0,0,0,0
17,2/8/20,1,0,0,0,0,0,0
18,2/9/20,1,0,0,0,0,0,0
19,2/10/20,1,0,0,0,0,0,0
20,2/11/20,1,0,0,0,0,0,0
21,2/12/20,1,0,0,0,0,0,0
22,2/13/20,1,0,0,0,0,0,0
23,2/14/20,1,0,0,0,0,0,0
24,2/15/20,1,0,0,0,0,0,0
25,2/16/20,1,0,0,0,0,0,0
26,2/17/20,1,0,0,0,0,0,0
27,2/18/20,1,0,0,0,0,0,0
28,2/19/20,1,0,0,0,0,0,0
29,2/20/20,1,0,0,0,0,0,0
30,2/21/20,1,0,0,0,0,0,0
31,2/22/20,1,0,0,0,0,0,0
32,2/23/20,1,0,0,0,0,0,0
33,2/24/20,1,0,0,0,0,0,0
34,2/25/20,1,0,0,0,0,0,0
35,2/26/20,2,0,0,1,0,0,0
36,2/27/20,7,0,0,5,0,0,0
37,2/28/20,7,0,0,0,0,0,0
38,2/29/20,12,0,0,5,0,0,0
39,3/1/20,14,0,0,2,0,0,0
40,3/2/20,15,0,0,1,0,0,0
41,3/3/20,21,0,0,6,0,0,0
42,3/4/20,35,0,0,14,0,0,0
43,3/5/20,94,0,0,59,0,0,0
44,3/6/20,101,0,0,7,0,0,0
45,3/7/20,161,0,0,60,0,0,0
46,3/8/20,203,0,0,42,0,0,0
47,3/9/20,248,0,1,45,0,1,1
48,3/10/20,355,0,1,107,0,0,0
49,3/11/20,500,1,1,145,1,0,1
50,3/12/20,599,1,1,99,0,0,0
51,3/13/20,814,1,1,215,0,0,0
52,3/14/20,961,2,1,147,1,0,1
53,3/15/20,1022,3,1,61,1,0,1
54,3/16/20,1103,6,1,81,3,0,3
55,3/17/20,1190,7,1,87,1,0,1
56,3/18/20,1279,10,1,89,3,0,3
57,3/19/20,1439,11,16,160,1,15,16
58,3/20/20,1639,16,16,200,5,0,5
59,3/21/20,1763,20,16,124,4,0,4
60,3/22/20,1934,21,16,171,1,0,1
61,3/23/20,2046,25,16,112,4,0,4
62,3/24/20,2286,36,16,240,11,0,11
63,3/25/20,2526,62,16,240,26,0,26
64,3/26/20,2840,77,16,314,15,0,15
65,3/27/20,3069,105,16,229,28,0,28
66,3/28/20,3447,105,16,378,0,0,0
67,3/29/20,3700,110,16,253,5,0,5
68,3/30/20,4028,146,16,328,36,0,36
69,3/31/20,4435,180,16,407,34,0,34
70,4/1/20,4947,239,103,512,59,87,146
71,4/2/20,5568,308,103,621,69,0,69
72,4/3/20,6131,358,205,563,50,102,152
73,4/4/20,6443,373,205,312,15,0,15
74,4/5/20,6830,401,205,387,28,0,28
75,4/6/20,7206,477,205,376,76,0,76
76,4/7/20,7693,591,205,487,114,0,114
77,4/8/20,8419,687,205,726,96,0,96
78,4/9/20,9141,793,205,722,106,0,106
79,4/10/20,9685,870,381,544,77,176,253
