dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover
1/22/20,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0
1/24/20,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0
1/26/20,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0
2/1/20,0,0,0,0,0,0
2/2/20,0,0,0,0,0,0
2/3/20,0,0,0,0,0,0
2/4/20,0,0,0,0,0,0
2/5/20,0,0,0,0,0,0
2/6/20,0,0,0,0,0,0
2/7/20,0,0,0,0,0,0
2/8/20,0,0,0,0,0,0
2/9/20,0,0,0,0,0,0
2/10/20,0,0,0,0,0,0
2/11/20,0,0,0,0,0,0
2/12/20,0,0,0,0,0,0
2/13/20,0,0,0,0,0,0
2/14/20,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0
2/16/20,0,0,0,0,0,0
2/17/20,0,0,0,0,0,0
2/18/20,0,0,0,0,0,0
2/19/20,0,0,0,0,0,0
2/20/20,0,0,0,0,0,0
2/21/20,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0
2/23/20,0,0,0,0,0,0
2/24/20,0,0,0,0,0,0
2/25/20,1,0,0,1,0,0
2/26/20,1,0,0,0,0,0
2/27/20,8,0,0,7,0,0
2/28/20,8,0,0,0,0,0
2/29/20,18,0,0,10,0,0
3/1/20,27,0,0,9,0,0
3/2/20,42,0,0,15,0,0
3/3/20,56,0,2,14,0,2
3/4/20,90,0,3,34,0,1
3/5/20,114,1,3,24,1,0
3/6/20,214,1,3,100,0,0
3/7/20,268,1,3,54,0,0
3/8/20,337,2,3,69,1,0
3/9/20,374,2,3,37,0,0
3/10/20,491,3,3,117,1,0
3/11/20,652,4,4,161,1,1
3/12/20,652,4,4,0,0,0
3/13/20,1139,11,4,487,7,0
3/14/20,1359,13,4,220,2,0
3/15/20,2200,14,4,841,1,0
3/16/20,2200,14,4,0,0,0
3/17/20,2700,27,4,500,13,0
3/18/20,3028,28,15,328,1,11
3/19/20,4075,41,15,1047,13,0
3/20/20,5294,54,15,1219,13,0
3/21/20,6575,75,15,1281,21,0
3/22/20,7474,98,131,899,23,116
3/23/20,8795,120,131,1321,22,0
3/24/20,9877,122,131,1082,2,0
3/25/20,10897,153,131,1020,31,0
3/26/20,11811,191,131,914,38,0
3/27/20,12928,231,1530,1117,40,1399
3/28/20,14076,264,1530,1148,33,0
3/29/20,14829,300,1595,753,36,65
3/30/20,15922,359,1823,1093,59,228
3/31/20,16605,433,1823,683,74,0
4/1/20,17768,488,2967,1163,55,1144
4/2/20,18827,536,4013,1059,48,1046
4/3/20,19606,591,4846,779,55,833
4/4/20,20505,666,6415,899,75,1569
4/5/20,21100,715,6415,595,49,0
4/6/20,21657,765,8056,557,50,1641
