dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/05/20,1,0,0,,,,
03/06/20,1,0,0,0.0,0.0,0.0,0.0
03/07/20,1,0,0,0.0,0.0,0.0,0.0
03/08/20,3,0,0,2.0,0.0,0.0,0.0
03/09/20,3,0,0,0.0,0.0,0.0,0.0
03/10/20,7,0,0,4.0,0.0,0.0,0.0
03/11/20,7,0,0,0.0,0.0,0.0,0.0
03/12/20,18,0,0,11.0,0.0,0.0,0.0
03/13/20,26,0,0,8.0,0.0,0.0,0.0
03/14/20,32,0,0,6.0,0.0,0.0,0.0
03/15/20,39,0,0,7.0,0.0,0.0,0.0
03/16/20,52,0,0,13.0,0.0,0.0,0.0
03/17/20,73,0,0,21.0,0.0,0.0,0.0
03/18/20,98,0,0,25.0,0.0,0.0,0.0
03/19/20,154,0,0,56.0,0.0,0.0,0.0
03/20/20,228,0,0,74.0,0.0,0.0,0.0
03/21/20,371,0,0,143.0,0.0,0.0,0.0
03/22/20,505,0,0,134.0,0.0,0.0,0.0
03/23/20,615,2,0,110.0,2.0,0.0,2.0
03/24/20,667,2,0,52.0,0.0,0.0,0.0
03/25/20,784,3,0,117.0,1.0,0.0,1.0
03/26/20,957,3,0,173.0,0.0,0.0,0.0
03/27/20,1203,6,0,246.0,3.0,0.0,3.0
03/28/20,1373,6,0,170.0,0.0,0.0,0.0
03/29/20,1537,7,0,164.0,1.0,0.0,1.0
03/30/20,1834,13,0,297.0,6.0,0.0,6.0
03/31/20,2239,23,121,405.0,10.0,121.0,131.0
04/01/20,2683,24,137,444.0,1.0,16.0,17.0
04/02/20,2845,32,220,162.0,8.0,83.0,91.0
04/03/20,3067,37,248,222.0,5.0,28.0,33.0
04/04/20,3321,43,416,254.0,6.0,168.0,174.0
04/05/20,3633,44,295,312.0,1.0,-121.0,-120.0
04/06/20,3802,65,356,169.0,21.0,61.0,82.0
04/07/20,4138,72,466,336.0,7.0,110.0,117.0
04/08/20,4362,79,592,224.0,7.0,126.0,133.0
