,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,1,0,0,0,0,0,0
1,1/23/20,1,0,0,0,0,0,0
2,1/24/20,3,0,0,2,0,0,0
3,1/25/20,3,0,0,0,0,0,0
4,1/26/20,4,0,0,1,0,0,0
5,1/27/20,5,0,0,1,0,0,0
6,1/28/20,8,0,0,3,0,0,0
7,1/29/20,8,0,0,0,0,0,0
8,1/30/20,9,0,0,1,0,0,0
9,1/31/20,10,0,0,1,0,0,0
10,2/1/20,10,0,0,0,0,0,0
11,2/2/20,10,0,0,0,0,0,0
12,2/3/20,10,0,0,0,0,0,0
13,2/4/20,11,0,0,1,0,0,0
14,2/5/20,11,0,0,0,0,0,0
15,2/6/20,16,0,1,5,0,1,1
16,2/7/20,16,0,1,0,0,0,0
17,2/8/20,17,0,1,1,0,0,0
18,2/9/20,18,0,1,1,0,0,0
19,2/10/20,18,0,1,0,0,0,0
20,2/11/20,18,0,1,0,0,0,0
21,2/12/20,18,0,1,0,0,0,0
22,2/13/20,18,0,1,0,0,0,0
23,2/14/20,18,0,2,0,0,1,1
24,2/15/20,18,0,2,0,0,0,0
25,2/16/20,20,1,2,2,1,0,1
26,2/17/20,22,1,2,2,0,0,0
27,2/18/20,22,1,2,0,0,0,0
28,2/19/20,23,1,2,1,0,0,0
29,2/20/20,24,1,2,1,0,0,0
30,2/21/20,26,1,2,2,0,0,0
31,2/22/20,26,1,2,0,0,0,0
32,2/23/20,28,1,2,2,0,0,0
33,2/24/20,30,1,5,2,0,3,3
34,2/25/20,31,1,5,1,0,0,0
35,2/26/20,32,1,5,1,0,0,0
36,2/27/20,32,1,5,0,0,0,0
37,2/28/20,34,1,6,2,0,1,1
38,2/29/20,39,1,9,5,0,3,3
39,3/1/20,40,1,9,1,0,0,0
40,3/2/20,41,1,12,1,0,3,3
41,3/3/20,42,1,12,1,0,0,0
42,3/4/20,42,1,12,0,0,0,0
43,3/5/20,44,1,12,2,0,0,0
44,3/6/20,45,1,12,1,0,0,0
45,3/7/20,45,1,12,0,0,0,0
46,3/8/20,45,1,13,0,0,1,1
47,3/9/20,45,1,15,0,0,2,2
48,3/10/20,47,1,17,2,0,2,2
49,3/11/20,48,1,17,1,0,0,0
50,3/12/20,49,1,20,1,0,3,3
51,3/13/20,50,1,20,1,0,0,0
52,3/14/20,53,1,20,3,0,0,0
53,3/15/20,59,1,20,6,0,0,0
54,3/16/20,67,1,20,8,0,0,0
55,3/17/20,77,1,22,10,0,2,2
56,3/18/20,100,1,22,23,0,0,0
57,3/19/20,108,1,26,8,0,4,4
58,3/20/20,135,2,26,27,1,0,1
59,3/21/20,153,2,28,18,0,2,2
60,3/22/20,169,2,28,16,0,0,0
61,3/23/20,195,2,28,26,0,0,0
62,3/24/20,215,2,29,20,0,1,1
63,3/25/20,235,2,29,20,0,0,0
64,3/26/20,252,2,29,17,0,0,0
65,3/27/20,267,2,29,15,0,0,0
66,3/28/20,283,2,30,16,0,1,1
67,3/29/20,298,2,30,15,0,0,0
68,3/30/20,306,5,39,8,3,9,12
69,3/31/20,322,5,39,16,0,0,0
70,4/1/20,329,5,39,7,0,0,0
71,4/2/20,339,5,45,10,0,6,6
72,4/3/20,348,5,50,9,0,5,5
73,4/4/20,355,5,50,7,0,0,0
74,4/5/20,363,5,50,8,0,0,0
75,4/6/20,373,5,57,10,0,7,7
76,4/7/20,376,5,57,3,0,0,0
77,4/8/20,379,5,61,3,0,4,4
78,4/9/20,380,5,67,1,0,6,6
79,4/10/20,382,6,91,2,1,24,25
