,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,2,0,0,0,0,0,0
1,1/23/20,3,0,0,1,0,0,0
2,1/24/20,5,0,0,2,0,0,0
3,1/25/20,7,0,0,2,0,0,0
4,1/26/20,8,0,2,1,0,2,2
5,1/27/20,8,0,2,0,0,0,0
6,1/28/20,14,0,5,6,0,3,3
7,1/29/20,14,0,5,0,0,0,0
8,1/30/20,14,0,5,0,0,0,0
9,1/31/20,19,0,5,5,0,0,0
10,2/1/20,19,0,5,0,0,0,0
11,2/2/20,19,0,5,0,0,0,0
12,2/3/20,19,0,5,0,0,0,0
13,2/4/20,25,0,5,6,0,0,0
14,2/5/20,25,0,5,0,0,0,0
15,2/6/20,25,0,5,0,0,0,0
16,2/7/20,25,0,5,0,0,0,0
17,2/8/20,32,0,10,7,0,5,5
18,2/9/20,32,0,10,0,0,0,0
19,2/10/20,32,0,10,0,0,0,0
20,2/11/20,33,0,10,1,0,0,0
21,2/12/20,33,0,10,0,0,0,0
22,2/13/20,33,0,12,0,0,2,2
23,2/14/20,33,0,12,0,0,0,0
24,2/15/20,33,0,12,0,0,0,0
25,2/16/20,34,0,14,1,0,2,2
26,2/17/20,35,0,15,1,0,1,1
27,2/18/20,35,0,15,0,0,0,0
28,2/19/20,35,0,15,0,0,0,0
29,2/20/20,35,0,15,0,0,0,0
30,2/21/20,35,0,17,0,0,2,2
31,2/22/20,35,0,17,0,0,0,0
32,2/23/20,35,0,21,0,0,4,4
33,2/24/20,35,0,21,0,0,0,0
34,2/25/20,37,0,22,2,0,1,1
35,2/26/20,40,0,22,3,0,0,0
36,2/27/20,40,0,22,0,0,0,0
37,2/28/20,41,0,28,1,0,6,6
38,2/29/20,42,0,28,1,0,0,0
39,3/1/20,42,1,28,0,1,0,1
40,3/2/20,43,1,31,1,0,3,3
41,3/3/20,43,1,31,0,0,0,0
42,3/4/20,43,1,31,0,0,0,0
43,3/5/20,47,1,31,4,0,0,0
44,3/6/20,48,1,31,1,0,0,0
45,3/7/20,50,1,31,2,0,0,0
46,3/8/20,50,1,31,0,0,0,0
47,3/9/20,50,1,31,0,0,0,0
48,3/10/20,53,1,33,3,0,2,2
49,3/11/20,59,1,34,6,0,1,1
50,3/12/20,70,1,34,11,0,0,0
51,3/13/20,75,1,35,5,0,1,1
52,3/14/20,82,1,35,7,0,0,0
53,3/15/20,114,1,35,32,0,0,0
54,3/16/20,147,1,35,33,0,0,0
55,3/17/20,177,1,41,30,0,6,6
56,3/18/20,212,1,42,35,0,1,1
57,3/19/20,272,1,42,60,0,0,0
58,3/20/20,322,1,42,50,0,0,0
59,3/21/20,411,1,42,89,0,0,0
60,3/22/20,599,1,44,188,0,2,2
61,3/23/20,721,1,44,122,0,0,0
62,3/24/20,827,4,52,106,3,8,11
63,3/25/20,934,4,70,107,0,18,18
64,3/26/20,1045,4,88,111,0,18,18
65,3/27/20,1136,5,97,91,1,9,10
66,3/28/20,1245,6,97,109,1,0,1
67,3/29/20,1388,7,97,143,1,0,1
68,3/30/20,1524,9,229,136,2,132,134
69,3/31/20,1651,10,342,127,1,113,114
70,4/1/20,1771,12,505,120,2,163,165
71,4/2/20,1875,15,505,104,3,0,3
72,4/3/20,1978,19,612,103,4,107,111
73,4/4/20,2067,20,674,89,1,62,63
74,4/5/20,2169,23,793,102,3,119,122
75,4/6/20,2220,26,793,51,3,0,3
76,4/7/20,2258,27,888,38,1,95,96
77,4/8/20,2369,30,888,111,3,0,3
78,4/9/20,2423,32,940,54,2,52,54
79,4/10/20,2473,33,1013,50,1,73,74
