dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
1/22/20,0,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0,0
1/24/20,0,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0,0
1/26/20,0,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0,0
2/1/20,0,0,0,0,0,0,0
2/2/20,0,0,0,0,0,0,0
2/3/20,0,0,0,0,0,0,0
2/4/20,0,0,0,0,0,0,0
2/5/20,0,0,0,0,0,0,0
2/6/20,0,0,0,0,0,0,0
2/7/20,0,0,0,0,0,0,0
2/8/20,0,0,0,0,0,0,0
2/9/20,0,0,0,0,0,0,0
2/10/20,0,0,0,0,0,0,0
2/11/20,0,0,0,0,0,0,0
2/12/20,0,0,0,0,0,0,0
2/13/20,0,0,0,0,0,0,0
2/14/20,0,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0,0
2/16/20,0,0,0,0,0,0,0
2/17/20,0,0,0,0,0,0,0
2/18/20,0,0,0,0,0,0,0
2/19/20,0,0,0,0,0,0,0
2/20/20,0,0,0,0,0,0,0
2/21/20,0,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0,0
2/23/20,0,0,0,0,0,0,0
2/24/20,0,0,0,0,0,0,0
2/25/20,0,0,0,0,0,0,0
2/26/20,0,0,0,0,0,0,0
2/27/20,0,0,0,0,0,0,0
2/28/20,0,0,0,0,0,0,0
2/29/20,0,0,0,0,0,0,0
3/1/20,0,0,0,0,0,0,0
3/2/20,0,0,0,0,0,0,0
3/3/20,0,0,0,0,0,0,0
3/4/20,0,0,0,0,0,0,0
3/5/20,0,0,0,0,0,0,0
3/6/20,0,0,0,0,0,0,0
3/7/20,0,0,0,0,0,0,0
3/8/20,0,0,0,0,0,0,0
3/9/20,0,0,0,0,0,0,0
3/10/20,0,0,0,0,0,0,0
3/11/20,1,0,0,1,0,0,0
3/12/20,1,0,0,0,0,0,0
3/13/20,5,0,0,4,0,0,0
3/14/20,5,0,0,0,0,0,0
3/15/20,6,0,0,1,0,0,0
3/16/20,18,0,0,12,0,0,0
3/17/20,47,1,0,29,1,0,1
3/18/20,98,1,0,51,0,0,0
3/19/20,192,3,0,94,2,0,2
3/20/20,359,4,0,167,1,0,1
3/21/20,670,9,0,311,5,0,5
3/22/20,1236,30,0,566,21,0,21
3/23/20,1529,37,0,293,7,0,7
3/24/20,1872,44,0,343,7,0,7
3/25/20,2433,59,26,561,15,26,41
3/26/20,3629,75,26,1196,16,0,16
3/27/20,5698,92,42,2069,17,16,33
3/28/20,7402,108,70,1704,16,28,44
3/29/20,9217,131,105,1815,23,35,58
3/30/20,10827,168,162,1610,37,57,94
3/31/20,13531,214,243,2704,46,81,127
4/1/20,15679,277,333,2148,63,90,153
4/2/20,18135,356,415,2456,79,82,161
4/3/20,20921,425,484,2786,69,69,138
4/4/20,23934,501,786,3013,76,302,378
4/5/20,27069,574,1042,3135,73,256,329
4/6/20,30217,649,1326,3148,75,284,359
4/7/20,34109,725,1582,3892,76,256,332
