,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,1,0,0,0,0,0,0
1,1/23/20,1,0,0,0,0,0,0
2,1/24/20,2,0,0,1,0,0,0
3,1/25/20,2,0,0,0,0,0,0
4,1/26/20,5,0,0,3,0,0,0
5,1/27/20,5,0,0,0,0,0,0
6,1/28/20,5,0,0,0,0,0,0
7,1/29/20,5,0,0,0,0,0,0
8,1/30/20,5,0,0,0,0,0,0
9,1/31/20,7,0,0,2,0,0,0
10,2/1/20,8,0,0,1,0,0,0
11,2/2/20,8,0,0,0,0,0,0
12,2/3/20,11,0,0,3,0,0,0
13,2/4/20,11,0,0,0,0,0,0
14,2/5/20,11,0,0,0,0,0,0
15,2/6/20,11,0,0,0,0,0,0
16,2/7/20,11,0,0,0,0,0,0
17,2/8/20,11,0,0,0,0,0,0
18,2/9/20,11,0,3,0,0,3,3
19,2/10/20,11,0,3,0,0,0,0
20,2/11/20,12,0,3,1,0,0,0
21,2/12/20,12,0,3,0,0,0,0
22,2/13/20,13,0,3,1,0,0,0
23,2/14/20,13,0,3,0,0,0,0
24,2/15/20,13,0,3,0,0,0,0
25,2/16/20,13,0,3,0,0,0,0
26,2/17/20,13,0,3,0,0,0,0
27,2/18/20,13,0,3,0,0,0,0
28,2/19/20,13,0,3,0,0,0,0
29,2/20/20,13,0,3,0,0,0,0
30,2/21/20,15,0,5,2,0,2,2
31,2/22/20,15,0,5,0,0,0,0
32,2/23/20,15,0,5,0,0,0,0
33,2/24/20,51,0,5,36,0,0,0
34,2/25/20,51,0,6,0,0,1,1
35,2/26/20,57,0,6,6,0,0,0
36,2/27/20,58,0,6,1,0,0,0
37,2/28/20,60,0,7,2,0,1,1
38,2/29/20,68,1,7,8,1,0,1
39,3/1/20,74,1,7,6,0,0,0
40,3/2/20,98,6,7,24,5,0,5
41,3/3/20,118,7,7,20,1,0,1
42,3/4/20,149,11,7,31,4,0,4
43,3/5/20,217,12,7,68,1,0,1
44,3/6/20,262,14,7,45,2,0,2
45,3/7/20,402,17,7,140,3,0,3
46,3/8/20,518,21,7,116,4,0,4
47,3/9/20,583,22,7,65,1,0,1
48,3/10/20,959,28,8,376,6,1,7
49,3/11/20,1281,36,8,322,8,0,8
50,3/12/20,1663,40,12,382,4,4,8
51,3/13/20,2179,47,12,516,7,0,7
52,3/14/20,2727,54,12,548,7,0,7
53,3/15/20,3499,63,12,772,9,0,9
54,3/16/20,4632,85,17,1133,22,5,27
55,3/17/20,6421,108,17,1789,23,0,23
56,3/18/20,7783,118,105,1362,10,88,98
57,3/19/20,13747,200,121,5964,82,16,98
58,3/20/20,19273,244,147,5526,44,26,70
59,3/21/20,25600,307,176,6327,63,29,92
60,3/22/20,33276,417,178,7676,110,2,112
61,3/23/20,43847,557,178,10571,140,0,140
62,3/24/20,53740,706,348,9893,149,170,319
63,3/25/20,65778,942,361,12038,236,13,249
64,3/26/20,83836,1209,681,18058,267,320,587
65,3/27/20,101657,1581,869,17821,372,188,560
66,3/28/20,121465,2026,1072,19808,445,203,648
67,3/29/20,140909,2467,2665,19444,441,1593,2034
68,3/30/20,161831,2978,5644,20922,511,2979,3490
69,3/31/20,188172,3873,7024,26341,895,1380,2275
70,4/1/20,213372,4757,8474,25200,884,1450,2334
71,4/2/20,243762,5926,9001,30390,1169,527,1696
72,4/3/20,275586,7087,9707,31824,1161,706,1867
73,4/4/20,308853,8407,14652,33267,1320,4945,6265
74,4/5/20,337072,9619,17448,28219,1212,2796,4008
75,4/6/20,366667,10783,19581,29595,1164,2133,3297
76,4/7/20,396223,12722,21763,29556,1939,2182,4121
77,4/8/20,429052,14695,23559,32829,1973,1796,3769
78,4/9/20,461437,16478,25410,32385,1783,1851,3634
79,4/10/20,496535,18586,28790,35098,2108,3380,5488
