dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
3/10/20,0,0,0,0,0,0,0
3/11/20,0,0,0,0,0,0,0
3/12/20,0,0,0,0,0,0,0
3/13/20,1,0,0,1,0,0,0
3/14/20,1,0,0,0,0,0,0
3/15/20,1,0,0,0,0,0,0
3/16/20,1,0,0,0,0,0,0
3/17/20,3,0,0,2,0,0,0
3/18/20,6,0,0,3,0,0,0
3/19/20,6,0,0,0,0,0,0
3/20/20,12,0,0,6,0,0,0
3/21/20,14,0,0,2,0,0,0
3/22/20,22,0,0,8,0,0,0
3/23/20,22,0,0,0,0,0,0
3/24/20,36,0,0,14,0,0,0
3/25/20,42,1,0,6,1,0,1
3/26/20,59,1,0,17,0,0,0
3/27/20,69,1,0,10,0,0,0
3/28/20,85,2,0,16,1,0,1
3/29/20,102,2,0,17,0,0,0
3/30/20,114,3,0,12,1,0,1
3/31/20,119,3,0,5,0,0,0
3/6/20,0,0,0,-119,-3,0,-3
3/7/20,0,0,0,0,0,0,0
3/8/20,0,0,0,0,0,0,0
3/9/20,0,0,0,0,0,0,0
4/1/20,133,3,0,133,3,0,3
4/2/20,143,3,0,10,0,0,0
4/3/20,157,3,0,14,0,0,0
4/4/20,171,5,0,14,2,0,2
4/5/20,185,6,0,14,1,0,1
4/6/20,191,6,0,6,0,0,0
4/7/20,213,6,29,22,0,29,29
4/8/20,226,7,32,13,1,3,4
