dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/06/20,0,0,0,,,,
03/07/20,0,0,0,0.0,0.0,0.0,0.0
03/08/20,0,0,0,0.0,0.0,0.0,0.0
03/09/20,0,0,0,0.0,0.0,0.0,0.0
03/10/20,0,0,0,0.0,0.0,0.0,0.0
03/11/20,0,0,0,0.0,0.0,0.0,0.0
03/12/20,6,0,0,6.0,0.0,0.0,0.0
03/13/20,9,0,0,3.0,0.0,0.0,0.0
03/14/20,12,0,0,3.0,0.0,0.0,0.0
03/15/20,16,0,0,4.0,0.0,0.0,0.0
03/16/20,22,0,0,6.0,0.0,0.0,0.0
03/17/20,22,0,0,0.0,0.0,0.0,0.0
03/18/20,33,0,0,11.0,0.0,0.0,0.0
03/19/20,46,0,0,13.0,0.0,0.0,0.0
03/20/20,96,0,0,50.0,0.0,0.0,0.0
03/21/20,118,0,0,22.0,0.0,0.0,0.0
03/22/20,165,0,0,47.0,0.0,0.0,0.0
03/23/20,174,0,0,9.0,0.0,0.0,0.0
03/24/20,218,0,0,44.0,0.0,0.0,0.0
03/25/20,280,2,11,62.0,2.0,11.0,13.0
03/26/20,335,3,13,55.0,1.0,2.0,3.0
03/27/20,381,3,19,46.0,0.0,6.0,6.0
03/28/20,404,5,24,23.0,2.0,5.0,7.0
03/29/20,426,6,28,22.0,1.0,4.0,5.0
03/30/20,473,7,29,47.0,1.0,1.0,2.0
03/31/20,523,8,35,50.0,1.0,6.0,7.0
04/01/20,584,10,42,61.0,2.0,7.0,9.0
04/02/20,643,12,47,59.0,2.0,5.0,7.0
04/03/20,704,12,60,61.0,0.0,13.0,13.0
04/04/20,743,14,79,39.0,2.0,19.0,21.0
04/05/20,830,16,97,87.0,2.0,18.0,20.0
04/06/20,875,16,102,45.0,0.0,5.0,5.0
04/07/20,946,16,142,71.0,0.0,40.0,40.0
04/08/20,1000,18,208,54.0,2.0,66.0,68.0
